target_phrase	idiomatic_meaning	literal_meaning	contextual_considerations	verbose_explanation	result
low-hanging fruit	A goal or target perceived as easily achievable or requiring little effort	Fruit that grows low on the tree and is thus easier to reach	In the sentence, 'She reached up and easily plucked the low-hanging fruit from the nearest branch and filled her basket with ripe, juicy apples,' the phrase 'low-hanging fruit' is used to refer to apples on the tree that are easy to pluck due to their lower position, aligning with the literal meaning of the term.	In this context, 'low-hanging fruit' is used in its literal sense, referring to fruit on a tree that is easy to pluck because it's low and reachable. The context does not suggest an easily achieved goal or ambition, which would align with the idiomatic usage of the phrase.	literal
busy bee	An industriously active (often overly active) person	A bee that is actively moving around or working	In the context of the sentence, 'The paperweight features an intricate busy bee buzzing through a summer garden landing on a delicate flower, contained in a stunning crystal,' the term 'busy bee' is used to describe a bee that is actively buzzing around a garden, aligning with the literal meaning of the term.	In this context, 'busy bee' is being used to describe a bee that is actively moving about or busy, likely gathering pollen. The sentence does not make reference to an overly hard-working or industrious person, which would be suggested by the idiomatic usage of the phrase.	literal
wet blanket	A person who spoils other people's fun by failing to join in with or by disapproving of their activities	A blanket that is wet	In the sentence, 'Those kinds of 'wise men' are well-known as party poopers and wet blankets,' the phrase 'wet blanket' is used to describe a person who curtails or ruins others' enjoyment, in line with the idiomatic usage.	In this context, 'wet blanket' is used in its idiomatic sense to refer to a person who is dull, overly cautious, or nonsupportive, thereby effectively 'dampening' the spirits or enthusiasm of others. The sentence does not suggest an actual blanket that is wet.	idiomatic
chicken feed	A small or insignificant amount of money	Food given to chickens	In the sentence, 'In comparison, the $2 billion spent on transit expansion is chicken feed,' the phrase 'chicken feed' is used to express that the amount of money being discussed is insignificant in comparison to some other implicit amount, aligning with the idiomatic meaning.	In this context, 'chicken feed' is used idiomatically to denote a relatively small amount of money, particularly in comparison to another, implicitly larger, amount of money. The speaker is not referring to food intended for poultry.	idiomatic
monkey business	Silly, mischievous, or deceitful behavior	The behavior or activity of a monkey	The sentence, 'The zookeeper spent his day taking care of the monkey business at the primate enclosure,' uses the term 'monkey business' literally to refer to the work or tasks associated with taking care of monkeys.	In this context, 'monkey business' literally refers to the task or work related to the care of monkeys. The phrase describes the zookeeper's activities in the primate enclosure, with no suggestion of mischief, deceit, or silliness typically associated with the idiomatic meaning.	literal
grass roots	The most basic level of an activity or organization	The part of the plant that grows below ground, or the lower part of the plant	In the sentence, 'You are interested in being an activist in your community pursuing social justice at the grass roots level,' the phrase 'grass roots' is used in its idiomatic sense to denote basic, community-level activism.	In this context, 'grass roots' takes on its idiomatic meaning, indicating activism or work originating among the common people, typically at local, community-based levels. There is no reference to the literal roots of grass or plants.	idiomatic
marching orders	Instructions to leave or quit	Orders given to soldiers telling them when and where to march	In the sentence, 'Defender Brown was given his marching orders after only three minutes on Saturday for a professional foul on Shane Long after Phil Bardsley's dreadful pass played the striker in,' the phrase 'marching orders' is used in its idiomatic sense to indicate that Brown is instructed to leave or is dismissed from the match.	Here, 'marching orders' is used idiomatically to signify Brown's dismissal from the soccer match following a professional foul. It does not refer to commands given to troops in a military context, which would align with a literal interpretation.	idiomatic
panda car	A British term for a police car	A vehicle that has characteristics of or is related to a panda	In the sentence, 'I was on duty in a panda car when we had a call come in for a road traffic collision just around the corner,' the term 'panda car' refers to a police car, in line with the British idiom.	In this context, 'panda car' is being used in its idiomatic sense, referring to a police car, as the speaker was on duty, likely as a police officer. It does not suggest any connection between a vehicle and a panda, the animal.	idiomatic
bread and butter	A person's livelihood or main source of income	A common food combination	In the sentence, 'They wanted curry chicken and rice and with bread and butter,' the phrase 'bread and butter' is used literally to refer to the food items.	In this context, 'bread and butter' refers to the actual food, bread spread with butter. The phrase does not imply a person's livelihood or main source of income, which corresponds with the idiomatic use of the term.	literal
chocolate teapot	A thing that is of no practical use	A teapot made out of chocolate	The sentence, 'Nonetheless, the striking partner of the two is often undermined by chocolate teapot Arsenal's defence,' uses 'chocolate teapot' as an adjective to describe a defense that is ineffective, aligning with the idiomatic usage.	In this context, 'chocolate teapot' is used in an idiomatic sense, implying that the defense of the team (Arsenal) is not practically useful or effective, similar to a teapot made of chocolate which cannot serve its intended function of holding hot water. The statement does not suggest an actual teapot made of chocolate.	idiomatic
pig's ear	A botched job, a mess	The ear of a pig	In the sentence, 'Some skilled chefs can make a pig's ear into a delicious dish,' the term 'pig's ear' is used literally to refer to part of a pig that can be cooked and eaten.	In this context, 'pig's ear' is clearly being used in its literal sense, denoting a part of the pig that can be made into a delicious dish by skilled chefs. It does not imply a messed up or botched job, which is the idiomatic meaning of the term.	literal
best man	The chief male attendant of the bridegroom at a wedding	The man who is the best at a particular task or quality	The sentence, 'The best man means the quickest driver and the most intelligent driver,' seems to use 'best man' to describe the person who is most proficient at driving, aligning with the literal meaning.	In this context, 'best man' means the most competent or skilled driver, taking the phrase's literal meaning of 'the man who is the best' at driving. It does not suggest the chief male attendant at a wedding, which would pertain to the term's idiomatic interpretation.	literal
big cheese	An important person in a group or family	A large chunk of cheese	In the sentence, 'I've just spent a week trawling round Silicon Valley, talking to a mix of developers, entrepreneurs, venture capitalists, industry observers and big cheeses from well established companies,' the phrase 'big cheeses' is used in its idiomatic sense to refer to important or influential individuals.	In this statement, 'big cheese' is used idiomatically to represent influential or central individuals within established companies in Silicon Valley. The context does not envision an actual large piece of cheese.	idiomatic
eager beaver	A person who is excited about doing certain work	A beaver that is eager	In the sentence, 'Keen to get the river dam established in its habitat, the eager beaver set to work gathering sticks and felling trees with its teeth,' the term 'eager beaver' is used literally to describe a strongly motivated beaver.	In this scenario, 'eager beaver' is used in a literal sense referring to a beaver that is keenly setting about its tasks of gathering sticks and felling trees with its teeth to establish its river dam. The phrase does not denote a person keen or enthusiastic about doing certain work, as would be suggested by the idiomatic interpretation.	literal
hair of the dog	The practice of consuming alcohol as a means to relieve a hangover from previous excessive drinking.	Literal strands of hair from a dog.	In the context sentence, 'In case a Bloody Mary over brunch isn't hair of the dog enough, why not add a lil' Scotch bonnet vodka to awaken your senses?' the usage of 'hair of the dog' refers to the consumption of alcohol (Scotch bonnet vodka) in an attempt to ease a hangover.	The phrase 'hair of the dog', in this context represents the idiosyncratic belief that consuming more alcohol can alleviate hangover symptoms. It is used metaphorically and doesn't have anything to do with actual dog hair.	idiomatic
thin ice	To be in a risky situation where one mistake could lead to serious trouble.	An ice surface that is thin and potentially dangerous due to risk of breaking.	In the sentence 'During the winter, children often play on thin ice, unaware of the danger beneath their feet.', the phrase 'thin ice' appears to align with its literal interpretation, implying a dangerous scenario involving children playing on physically thin ice without recognizing the associated risks.	In this case, 'thin ice' refers to the fragile state of a frozen water body. It has a literal application here as it describes a risky situation where the children are actually playing on thin, fragile ice, which could break.	literal
snake in the grass	A deceptive or treacherous person.	An actual snake hiding or moving in grass.	In the given sentence 'After rescuing myself and my gear with my Sherpa's expert assistance, I photographed the sneaky snake in the grass and added the shot to my camouflage collection.', the phrase 'snake in the grass' is used literally to describe an actual reptile present in the grass 	In this particular scenario, 'snake in the grass' points to an actual snake that is located in the grass, indicating a literal interpretation of the phrase.	literal
flea market	A type of bazaar that rents or provides space to people who want to sell or barter used goods, cheap items, or antiques.	A market for fleas.	In this sentence 'Some people view the site as an online flea market where supply and demand dictate prices.', the term 'flea market' is used metaphorically to represent a marketplace, specifically online, where goods are exchanged or sold.	The phrase 'flea market' in this context stands for an online platform where users trade goods. It depicts its figurative usage where 'flea market' does not literally involve fleas, but is merely an informal descriptor for a type of market.	idiomatic
big fish	A person of great importance or influence, especially within a particular sphere.	A fish of large size.	In the sentence, 'Earlier this year, the big fish at Mattel Inc. was asked by an American magazine to name his favourite gadget.', 'big fish' refers a person of significance or influence at Mattel Inc, implying the figurative usage of this term.	'Big fish' in this sentence denotes a person holding a powerful position or having a great amount of influence within Mattel Inc. Thus, it is used in its idiomatic sense here, having nothing to do with a literal large-sized fish.	idiomatic
fancy dress	Costume worn to impersonate a character or type of person for an event or party, typically appropriate for Halloween.	A dress of high quality or distinctive style.	In the given context of 'As a child I remember my sister and I used to always get a new fancy dress and often a hat to go along with it to wear to Sunday school.', 'fancy dress' is used to describe a special type of attire the sisters used to wear for Sunday school, indicating its literal interpretation.	In this case, 'fancy dress' is being used to refer to a distinctively stylish or high-quality dress that the speaker and her sister used to wear for Sunday school. It does not denote a costume dress indicating its literal use in the context.	literal
snail mail	Traditional postal mail service (as opposed to email), so named due to its relative slow speed.	A mail delivered by a snail.	In the sentence, 'The children giggled as they placed a tiny envelope on the back of a snail, imagining it as their new snail mail delivery service.', the kids are literally envisioning the slow-moving creature as a mail carrier, using the phrase 'snail mail' in a literal sense.	Here, the phrase 'snail mail' is being used to describe a playful scenario where children are imagining a snail delivering mail. It's a literal usage as it involves an actual snail, which contrasts with the usual connotation of slow postal services like mail or parcels.	literal
heart of stone	Describes a person who does not show any compassion or sympathy.	A heart made up of stone.	In the context sentence, 'Charles would have to have a heart of stone to turn her over to Lilandra, or do anything else along those lines.', the phrase 'heart of stone' is used to depict a lack of compassion or empathy from Charles, which clearly resonates with the idiomatic interpretation of the phrase.	In this context, 'heart of stone', is used to suggest that Charles would have to be devoid of emotions and compassion in order to betray someone he cares about. It is used metaphorically, having nothing to do with a literal heart made of stone.	idiomatic
party animal	An individual who is fond of social gatherings and parties, often excessive in their pursuit of fun.	An animal at a party or an animal belonging to a party.	In the sentence 'Milly was the party animal who has now settled down into the seemingly perfect life with a rockstar husband and two loving children.', the term 'party animal' refers to Milly's past fondness for parties, thereby aligning with its idiomatic meaning.	The term 'party animal' in this sentence is used to describe Milly's former lifestyle characterized by frequent partying and a high-spirited social life. It doesn't involve an actual animal involved in a party, indicating an idiomatic usage.	idiomatic
cold feet	A feeling of nervousness or anxiety before an important event, causing one to wish to abandon a plan.	Feet that are physically cold.	In the context sentence, 'The broad-shouldered man tightened the red scarf around his neck and blew on his hands, stamping his cold feet on the hard wet cobblestones.', the phrase 'cold feet' is used in its literal sense to mean that the man's feet are physically cold.	Here, 'cold feet' is describing the man's physically cold feet likely due to the wet cobblestones. The sentence reflects the cold temperature affecting the man's feet, not a case of pre-event jitters or nerves, implying a literal interpretation of 'cold feet'.	literal
couch potato	A lazy person who spends a lot of free time sitting or lying down, usually watching television, playing video games or engaging in activities that have little or no physical effort.	A potato on a couch.	The sentence, 'After a long day, Sarah snuggled up on the sofa with her couch potato, a plush tuber-shaped cushion that had been a gift from her aunt.' uses the term 'couch potato' to refer to a cushion shaped like a potato, suggesting a literal usage.	In this context, 'couch potato' isn't being used to refer to a lazy individual but instead is used to describe a pillow shaped like a potato that Sarah cuddles up with on her couch. Therefore, this is a literal usage of the term.	literal
peas in a pod	Two or more people who are very similar in appearance or thinking, or are always together.	Actual peas contained within a pod.	The sentence, 'Spearfishermen are all shapes and sizes, they are not peas in a pod and nor are their guns if they optimize their design for their own purposes.' uses the phrase 'peas in a pod' to signify that spearfishermen and their guns are not identical or similar in design, in line with its idiomatic usage.	In this scenario, the phrase 'peas in a pod' is used figuratively to emphasize that spearfishermen and their guns are not identical or similar in shape or size, much like peas in a pod are similar to each other. There is no implication of actual peas or pods in this context.	idiomatic
sour grapes	An attitude in which someone adopts a negative viewpoint or disparages something because they cannot have it themselves.	Grapes that have a sour taste.	The context sentence, 'The aromatic notes run the gamut from hints of lactic, acetic, definitely citric, with notes of tart apples, sour grapes and even some touches of exotic fruit.' uses 'sour grapes' to denote grapes that have a sour taste, constituting a literal usage of the phrase.	In this instance, 'sour grapes' is used to refer to literal grapes that are sour, as part of a flavor profile of some aromatic notes. It doesn't signify a person demeaning something that they cannot have, which is the figurative meaning of the phrase.	literal
hot air	Empty or exaggerative talk that is intended to impress but has little or no substance.	Air that has a high temperature.	In this sentence 'French men, proud of their prowess as lovers, may actually be all hot air, according to a study by the National Demographic Studies Institute.', the term 'hot air' is used metaphorically to highlight the possibility that the French men's claims about their prowess could be unfounded or exaggerated.	'Hot air' in this context is referring to empty, exaggerative talk, specifically regarding the French men's boasts about their abilities as lovers. It does not involve the literal interpretation of heated air.	idiomatic
green light	The approval or permission to proceed with a project or action.	Light that appears green in color, as in a traffic signal.	In this sentence, 'He was so frightened he wouldn't let the driver go across a green light in case he hit Rebecca and the twins coming the other way.', 'green light' refers to the actual green colored light in a traffic signal, indicating a literal usage.	Here, 'green light' is used to refer to the literal green light in traffic signals that permit vehicles to proceed. It does not pertain to approval or permission for an action or project in this context.	literal
watering hole	A place where people often go to drink and socialize, such as a bar or pub	A place in nature where wildlife go to drink water	In the sentence 'It fits in perfectly with the surroundings and overlooks a watering hole visited every day by elephant, buffalo, giraffe and antelope.', 'watering hole' is a place where wildlife animals come to drink water, suggesting a literal usage of the term.	In this context, 'watering hole' is used literally to refer to a place where wildlife animals drink water in their natural surroundings. It does not refer to a location where people gather to drink and socialize.	literal
flying saucer	A term often used to refer to a type of unidentified flying object (UFO), typically with a disc or saucer-shaped body.	A disc or saucer that is airborne.	The sentence, 'There is a display here featuring some of the unknown artifacts found at the site where a flying saucer allegedly crashed in 1947.' uses the term 'flying saucer' to imply a UFO, aligning more with the idiomatic usage of the term.	In this circumstance, 'flying saucer' is being used to describe an unidentified flying object that is typically associated with extraterrestrial beings or UFO sightings. It is not referring to an actual saucer that is flying, but rather a UFO, representing the idiomatic use of the phrase.	idiomatic
act of god	An event that is caused by the effect of nature or natural disaster which no human has control over.	An action performed by a god.	In the given sentence 'Whether an event is intentional, accidental or an act of God, knowing how to properly respond when a crisis occurs in the workplace is critical.', the phrase 'act of God' refers to incidents caused by natural forces beyond human control, insinuating idiomatic usage.	In this sentence, 'act of God' refers to events or incidents caused by natural forces that are outside human control, such as earthquakes, floods or other natural disasters. The usage pertains more to the idiomatic sense, and not to a literal action performed by a god.	idiomatic
field work	Work done outside the office, in the 'field', relating to practical activities, surveys, research, etc.	Work done in a field (an area of open land).	In the sentence, 'One of the highlights of the Mississippi Freedom Project happened during our first year of oral history field work in the town of Indianola.' the term 'field work' is used to describe work conducted outside the office, depicting its idiomatic interpretation.	Here, 'field work' signifies practical research work that takes place outside the office, specifically in this case, collecting oral history in Indianola. It does not pertain to work being done literal open land or a field.	idiomatic
big wig	A person of great importance or influence, especially in a particular sphere.	A large-sized wig.	In the sentence 'Montenegro used a big wig and glasses to deliver chatty, comic commentary and criticisms, some concerning the local government.', 'big wig' refers to an actual large-sized wig used by Montenegro, denoting the literal sense of the term.	In this particular context, 'big wig' is used to describe the physical wig Montenegro is wearing while delivering commentary. It does not denote a person of high status or importance, hence, it's the literal use of the term.	literal
