target_phrase	idiomatic_meaning	literal_meaning	contextual_considerations	verbose_explanation	result
two-way street	A situation or relationship involving mutual or reciprocal action or obligation.	A street that allows traffic to travel in two opposite directions.	The sentence 'We're focusing our efforts on getting more men to participate and join the conversations, showing them that a lot of the discussion is a two-way street, and we need to be part of the dialogue as well.' uses 'two-way street' to refer to the reciprocal nature of discussion, aligning it with the idiomatic usage.	In this sentence, the term 'two-way street' is used to reflect a reciprocal or mutually beneficial situation, referring to a conversation where all parties should participate and contribute. The context is not about traffic or actual streets, but about the interaction of conversation, which affirms the idiomatic interpretation.	idiomatic
rat run	A relatively lesser known road or route used by locals, especially to avoid heavy traffic on main roads.	A place where rats typically run or a route frequently taken by rats.	The sentence 'When you see a live rat, rat run or rat burrow, take action immediately.' refers to places associated with rats, which aligns with the literal interpretation of the phrase.	In this context, the term 'rat run' most likely refers to the path or route frequently taken by rats. The sentence provides explicit instructions on what to do upon seeing signs of rat activity, which include live rats, rat runs, and rat burrows. This differs from the idiomatic usage of 'rat run' which usually refers to a lesser-known route or road used by locals to avoid heavy traffic.	literal
graveyard shift	A work shift that runs late at night to early in the morning.	A shift of duty or work in a graveyard.	The sentence 'It was my turn once again to do the graveyard shift at work, and I wasn't looking forward to being at the church surrounded by gravestones.' could be interpreted both ways. The 'graveyard shift' could mean working during late hours, but the context also mentions being at a church surrounded by gravestones, hinting at the literal interpretation.	The phrase 'graveyard shift' in the sentence could literally mean a work shift in a graveyard considering the presence of a church and gravestones in the context. However, it also aligns with the idiomatic understanding of the phrase as a work shift running late into the night, considering the implication of it being an unwelcome or difficult duty. In this context, both interpretations are possible.	literal
dirty money	Money that is obtained through illegal or unethical activities.	Money that is physically unclean or soiled.	In the sentence, the 'dirty money' refers to money that is physically contaminated, possibly with bacteria or germs. The contamination is understood to be potentially infectious, which aligns with the literal interpretation of the phrase.	The phrase 'dirty money' in this context refers to physical currency that is unclean and may possibly spread infection when touched. The reference to spreading infection through contact with the money and other surfaces supports this interpretation. Thus, 'dirty money' is used in its literal sense.	literal
high life	Extravagant or luxurious lifestyle often characterized by wealth, excess, and indulgence.	Living or existing at a significant elevation or altitude.	In this sentence, the 'high life' of the mountain goats refers to their existence at high altitudes. The context refers to their physical characteristics and adaptation to the environment, indicating a literal usage of the phrase.	'High life' in this context refers to the literal high-altitude lifestyle of mountain goats. The phrase explains the adaptation of the goats' lung capacity and agility due to living at high elevations. There is no implication of luxury or extravagance, which concurs with the literal interpretation of the phrase.	literal
pain in the neck	A person, thing, or situation that is annoying, bothersome, or troublesome.	Physical discomfort or ailment located in the neck.	The phrase 'pain in the neck' in this context does not refer to any physical pain. Instead, it is used to express the inconvenience or annoyance in doing business with the government.	'Pain in the neck' here represents the annoying, difficult, or bothersome experience of doing business with the government. This expression does not imply any reference to actual physical pain in the neck but is used to express displeasure or frustration, in line with its idiomatic usage.	idiomatic
guinea pig	A person or thing used for experimentation or as a subject for trials or research.	A small mammal kept as a pet that is native to the Andes.	In this sentence, 'guinea pig' is referred to in the context of appropriate diets for the animal. The context provides information on the feeding habits of guinea pigs, aligning with the literal meaning of the term.	'Guinea pig' is used in its literal sense here, referring to the small pet mammal. The sentence talks about health and dietary recommendations for guinea pigs, with no evidence to suggest an idiomatic usage that involves experimentation or trials.	literal
cat's eyes	Reflective road safety device used to guide traffic and improve road visibility, named for their resemblance to the reflective eyes of a cat.	The eyes of a feline animal, a cat.	In the context sentence, 'cat's eyes' is used to describe the actual eyes of a cat reflecting some dim light in the night. The description suggests a literal interpretation of the phrase.	In this context, 'cat's eyes' refers to the actual eyes of a cat that were reflecting dim light in the darkness. The usage aligns with the literal meaning of the phrase; there's no indication of the phrase being used to refer to the road safety device.	literal
cold turkey	To stop a habit or addiction abruptly and completely, without gradually reducing or tapering off. It often refers to ceasing a harmful behavior or substance like smoking or drugs.	A turkey that is cold.	In the sentence, the phrase 'cold turkey' is mentioned in relation to returning to old habits, often associated with addictions. This context aligns with the idiomatic usage of the phrase.	The phrase 'cold turkey' in this sentence means mainly ceasing a behavior or an addiction abruptly and totally. The context explains the negative consequences of this approach, which implies that the usage of 'cold turkey' in this scenario is idiomatic.	idiomatic
low-hanging fruit	A task or goal that is easy to achieve or a problem that is easy to solve.	Fruit that hangs low on a tree, making it easy to reach and pick.	In this context, 'low-hanging fruit' is used in a literal sense, referring to apples that are within easy reach on a tree.	The woman in the sentence is literally picking low-hanging fruit, specifically apples, from a tree. The phrase makes no figurative or symbolic reference in this context. Therefore, it is a clear case of literal usage.	literal
busy bee	A person who is always active and involved in many things.	A bee that is actively working or gathering pollen.	The phrase 'busy bee' in this sentence refers to the design on a paperweight. The description aligns with the literal interpretation of the phrase.	In this sentence, 'busy bee' describes a literal bee, as part of the intricate design of the paperweight. The phrase is used to emphasize the detailed design, which features a bee in a summer garden, not to denote any idiomatic sense of a busy person.	literal
wet blanket	A person who ruins other people's fun by failing to join in or by disapproving of their plans.	A blanket that is wet.	Within the sentence, 'wet blanket' is used to describe someone's personality, specifically someone who spoils the mood or ruins the fun, which aligns with its idiomatic meaning.	In this context, 'wet blanket' is being used idiomatically to refer to a person who is consistently negative or spoil-sport, ruining the fun or mood of the party or gathering. This interpretation aligns with the idiomatic meaning of the phrase.	idiomatic
chicken feed	A small or insufficient amount, especially in relation to money. Often refers to a paltry sum or insignificant value.	Food given to chickens.	The context sentence uses the term 'chicken feed' to describe the expenditure on transit expansion as insignificant when compared to other costs. This usage aligns with the idiomatic meaning of the term.	The phrase 'chicken feed', in this sentence, is being used to represent a small or insignificant sum of money. The context discusses spending on transit expansion, positioning the expenditure as small compared to other, presumably larger, expenditures. Thus, $2 billion is referred to as 'chicken feed', suggesting its minor significance in a larger financial context.	idiomatic
monkey business	Nonsense or foolish behavior; sometimes dishonest or deceitful conduct.	Activities or tasks related to monkeys.	The term 'monkey business' is given a literal interpretation in the context sentence. The zookeeper looks after the monkeys, so everything he does in relation to the animals can be considered 'monkey business'.	In this sentence, 'monkey business' refers to literal activities related to monkeys, in this case, the zookeeper's work taking care of monkeys at the primate enclosure. The phrase isn't referring to foolish or deceitful behaviour, which affirms the literal usage in this context.	literal
grass roots	The basic level of society or of an organization, especially as viewed in relation to higher, centralized positions of power.	The part of a plant that grows below the ground.	In this sentence, 'grass roots' refers to acting at a basic or local level in terms of community activism or social justice, aligning with the idiomatic meaning of the term.	When the sentence talks about 'the grass roots level', it means being actively involved in basic, local social activism within the community. The usage is idiomatic, referring to involvement in roles or actions that originate from the people or the community, rather than from centralized powers or authorities.	idiomatic
marching orders	Instructions to leave or depart, often because a person has been dismissed from a job.	Commands or directions for a group to march or move in a coordinated manner.	In the given sentence, 'marching orders' does not imply literal commands to march. Instead, it indicates dismissal or removal from a certain position, complying with the idiomatic usage of the phrase.	The phrase 'marching orders' is used idiomatically to mean that the defender, Brown, was dismissed or sent off the field due to a foul he committed. In this context, the phrase doesn't refer to any literal marching but indicates a dismissal, aligning with its idiomatic meaning.	idiomatic
panda car	A police car in the United Kingdom, especially a small one used for transporting officers rather than for pursuit.	A motor vehicle resembling or featuring a panda.	In the context sentence, 'panda car' is used to refer to the vehicle while on duty, which aligns with the British slang term for a small police car.	The phrase 'panda car' in this sentence aligns with the idiomatic meaning, referring to a police car in the UK. The context of being on duty and receiving a call for assistance supports this interpretation, and there is no indication that the statement pertains to an actual panda or car that features a panda.	idiomatic
bread and butter	Basic means of livelihood; sustenance or main source of income.	A type of food consisting of bread topped with butter.	In the sentence, the phrase 'bread and butter' is part of a list of foods, indicating the literal meaning of the term.	In this context, 'bread and butter' refers literally to the food items bread and butter. There's no indication of the idiomatic meaning of a primary source of income or livelihood in this context. They wanted curry chicken and rice along with bread and butter, making it a literal usage.	literal
chocolate teapot	Something that is attractive but useless or ineffective in practice.	A teapot made out of chocolate.	In the context sentence, 'chocolate teapot' is used to describe a defense that looks attractive but proves ineffective, which aligns with the phrase's idiomatic usage.	The term 'chocolate teapot' in this case is used idiomatically to degrade Arsenal's defence as ineffective, despite potentially appearing attractive or promising. This aligns with the idiomatic meaning of the phrase, suggesting something that is apparently appealing, but ultimately impractical or useless.	idiomatic
pig's ear	A situation or task that has been handled clumsily or spoiled through incompetence.	The ear of a pig.	The sentence suggests that a skilled chef can turn a 'pig's ear' into a delicious dish. This implies a literal meaning, as the phrase is referring to an actual part of a pig.	The phrase 'pig's ear' in this context refers to the literal ear of a pig. A skilled chef, according to the sentence, can use this part to create a tasty dish. It does not refer to a messy situation or task handled poorly, which is the idiomatic meaning of the phrase.	literal
best man	The chief male attendant to the groom at a wedding.	The most superior man in some respect; the man who is best at something.	In the sentence, 'best man' refers to the most skilled driver in terms of speed and intelligence, aligning with the literal interpretation of the phrase.	In this context, 'best man' refers to the superior driver regarding speed and intelligence, hence it's used in the literal meaning -- the most superior man in these respects. There's no indication of the idiomatic meaning related to the chief male attendant to a groom at a wedding.	literal
big cheese	A person of great importance or influence.	A large piece of cheese.	In the context of the sentence, 'big cheeses' are important individuals from well established companies, which aligns with the idiomatic meaning of the phrase.	In this context, 'big cheeses' refers to important, influential people from well established companies. The context includes notable figures such as developers, entrepreneurs, and venture capitalists, corroborating this interpretation. The phrase is not referring to a literal large piece of cheese, which means the usage is idiomatic.	idiomatic
eager beaver	A person who is enthusiastic and works very hard.	A beaver that is eager.	The sentence describes a literal beaver that is eager to build a dam in its habitat, aligning closely with the literal interpretation of the phrase.	In this context, 'eager beaver' is used in its literal sense to describe a beaver that is keenly working on establishing a dam. The scenario doesn't involve a person being overly enthusiastic or hardworking, which is typically implied in the idiomatic usage of the phrase.	literal
hair of the dog	Having an alcoholic drink to relieve the symptoms of a hangover.	The fur on a dog's body.	In the sentence, 'In case a Bloody Mary over brunch isn't hair of the dog enough, why not add a lil' Scotch bonnet vodka to awaken your senses?', the use of 'hair of the dog' pertains to alcohol consumption, which aligns with the idiomatic usage of the term.	In this context, 'hair of the dog' refers to having an alcoholic beverage to alleviate the effects of a hangover. This interpretation is supported by the suggestion to add more alcohol (Scotch bonnet vodka) to a Bloody Mary, which is a drink commonly associated with morning-after recovery.	idiomatic
thin ice	A situation in which someone is in danger or at risk of upsetting others or causing a problem.	A fragile layer of solid water formed over a body of liquid water.	The sentence, 'During the winter, children often play on thin ice, unaware of the danger beneath their feet,' seems to depict a literal situation of children playing on thin, possibly dangerous ice.	'Thin ice' in this sentence refers to a literal sheet or layer of ice that might not be strong enough to support the weight of children playing on it. The danger implied in the sentence corresponds to the physical risk associated with ice cracking because of insufficient thickness, not the metaphorical risk of causing social upset.	literal
snake in the grass	A person who pretends to be your friend but is actually your enemy.	A snake that is hiding in grass.	In the sentence, 'After rescuing myself and my gear with my Sherpa's expert assistance, I photographed the sneaky snake in the grass and added the shot to my camouflage collection,' the phrase 'snake in the grass' seems to literally mean a snake hidden in the grass.	In this context, the phrase 'snake in the grass' refers to a literal snake hiding among grass, evidenced by the narrator photographing it for a collection featuring camouflaged animals. There is no indication in the sentence that the idiomatic usage, denoting deceitful people, is intended.	literal
flea market	A market, often outdoors, selling secondhand goods or antiques.	A market for selling fleas.	The sentence, 'Some people view the site as an online flea market where supply and demand dictate prices,' uses 'flea market' in an idiomatic sense to refer to a marketplace for used goods.	'Flea market' here refers to an online platform where various goods are sold, often used or secondhand ones, akin to a physical flea market. The general principles of supply and demand govern the pricing, similar to a traditional flea market. The context doesn't suggest the literal selling of fleas.	idiomatic
big fish	A person with a lot of influence and power.	A fish of high stature and size.	In the sentence, 'Earlier this year, the big fish at Mattel Inc. was asked by an American magazine to name his favourite gadget,' the phrase 'big fish' is used to refer to someone of significant authority, therefore it's used in its idiomatic sense.	In this context, 'big fish' denotes a person with significant influence or power at Mattel Inc., who was invited by a magazine to name his favourite gadget. The phrase is not referring to an actual large fish, but to an influential figure in the business context.	idiomatic
fancy dress	Costume worn to a party or event where attendees are expected to impersonate a character or person.	A dress that is elaborate or showy.	The sentence, 'As a child I remember my sister and I used to always get a new fancy dress and often a hat to go along with it to wear to Sunday school,' uses 'fancy dress' to literally mean a dress that is fancier than regular attire.	The 'fancy dress' in this situation is a literal dress likely one that is more ornate or formal than everyday clothing. It's clear from the context that the focus here is on the dressiness of the attire, not on the connotations of theatrical costumes associated with the term's idiomatic usage.	literal
snail mail	A term used to describe regular, physical mail service due to its perceived slowness compared to email and other electronic communication.	Mail transported by a snail.	The sentence, 'The children giggled as they placed a tiny envelope on the back of a snail, imagining it as their new snail mail delivery service,' uses 'snail mail' in a literal sense, where a snail is humorously imagined to be used for transporting mail.	'Snail mail' in this sentence refers to a humorous and literal enactment by children who fixed an envelope to a snail's back, mimicking a slow mail delivery system. The term is thus not used in its usual idiomatic meaning to express disdain for the slowness of traditional postal services.	literal
heart of stone	Describing a person who doesn't show or feel any emotional warmth, sympathy, or remorse.	A heart made out of stone.	In the sentence, 'Charles would have to have a heart of stone to turn her over to Lilandra, or do anything else along those lines,' the phrase 'heart of stone' is used to depict an unfeeling or callous person, which is consistent with its idiomatic interpretation.	The 'heart of stone' phrase here is used in its idiomatic sense to describe Charles as someone who could be capable of taking an action, turning her over to Lilandra, that would require a lack of empathy or emotional warmth. The context does not suggest a literal heart made of stone.	idiomatic
party animal	A person who loves parties and partying, typically one who is outgoing and has high energy.	An animal that attends parties.	In the sentence, 'Milly was the party animal who has now settled down into the seemingly perfect life with a rockstar husband and two loving children,' party animal is used to mean someone who enjoys socializing in large groups or parties, which is its idiomatic meaning.	'Party animal' in this sentence is used idiomatically to describe Milly as someone who once greatly enjoyed socializing and attending parties. Nowadays, however, she has settled into a quieter, family-oriented life. The phrase in this context has no implication of an actual animal at a party.	idiomatic
cold feet	Nervousness or anxiety preventing one from proceeding with an action.	Feet that are physically cold.	In the sentence, 'The broad-shouldered man tightened the red scarf around his neck and blew on his hands, stamping his cold feet on the hard wet cobblestones,' 'cold feet' is used literally to describe the man's chilly extremities.	'Cold feet' in this context is used to describe an actual physical sensation of cold in the man's feet, possibly due to the weather or wet environment. This sentence does not convey an implication of anxiety or nervousness, which would be indicative of the idiomatic usage.	literal
couch potato	A person who spends a lot of time sitting or lying down, usually watching TV.	A potato that is on a couch.	In the sentence, 'After a long day, Sarah snuggled up on the sofa with her couch potato, a plush tuber-shaped cushion that had been a gift from her aunt,' the phrase 'couch potato' is used literally to portray a potato-shaped cushion on a sofa.	In this context, 'couch potato' refers to a physical object - a cushion resembling a potato that the narrator uses to relax. This usage represents a literal interpretation of the components of the idiom, as there is no indication of sedentary behavior typically associated with the term's idiomatic meaning.	literal
peas in a pod	Two or more individuals who are remarkably similar to each other in appearance, behavior, or both.	Actual peas enclosed in a pod.	In the sentence, 'Spearfishermen are all shapes and sizes, they are not peas in a pod and nor are their guns if they optimize their design for their own purposes,' the phrase 'peas in a pod' is utilized in its idiomatic sense to illustrate similarity, or lack thereof in this case.	Here, 'peas in a pod' is used idiomatically to refer to the expectation of sameness among a group, in this case spearfishermen and their equipment. The sentence clarifies that these individuals and their 'guns' are diverse ('not peas in a pod'), suggesting that each has unique characteristics for their specific needs. The context does not refer to literal peas in a pod.	idiomatic
sour grapes	Expressions of disdain put forward to minimize the significance of a failure to attain a desired end. This behavior is named after the fable 'The Fox and the Grapes' by Aesop.	Grapes that have a sour taste.	In the sentence, 'The aromatic notes run the gamut from hints of lactic, acetic, definitely citric, with notes of tart apples, sour grapes and even some touches of exotic fruit,' 'sour grapes' is used in its literal sense to describe grapes with a sour taste.	'Sour grapes' in this sentence is referring to the actual flavor of grapes being sour. Given the context (a description of aromatic notes of different flavors), there is no underlying suggestion of jealousy or bitterness, as implied by the idiom 'sour grapes.'	literal
hot air	Empty or exaggerated talk that lacks substance or sincerity.	Air with a high temperature.	In the sentence, 'French men, proud of their prowess as lovers, may actually be all hot air, according to a study by the National Demographic Studies Institute,' the phrase 'hot air' is used in an idiomatic sense regarding empty and unsubstantiated boasting.	The phrase 'hot air' in this instance is used idiomatically to denote the French men's boasting or bragging about their romantic prowess, suggesting that such boasting might be exaggerated or lacks substance, as hinted by the findings of a demographic study.	idiomatic
green light	Approval or permission to proceed with a project, an action, etc.	A traffic signal glowing green, indicating that traffic may proceed.	In the sentence, 'He was so frightened he wouldn't let the driver go across a green light in case he hit Rebecca and the twins coming the other way,' 'green light' is used in its literal sense to refer to an actual traffic signal light glowing green.	In this sentence, 'green light' literally refers to a traffic signal that is showing a green light, which customarily means vehicles may proceed. The man's fear leads him to ignore this usual convention. There is no suggestion here of the idiomatic meaning of granting permission or approval for something.	literal
watering hole	A social gathering place where individuals go to drink and converse, often referring to a bar or similar establishment.	A natural source of surface water animals visit to drink.	In the sentence, 'It fits in perfectly with the surroundings and overlooks a watering hole visited every day by elephant, buffalo, giraffe and antelope,' the phrase 'watering hole' is used literally to indicate a place where wild animals gather to drink.	'Watering hole' is used here in a literal sense to refer a site where various wild animals come to drink water. The mention of elephants, buffalo, giraffes, and antelopes indicate a natural rather than a social human setting, and there's no implication that it refers to a social gathering place for humans.	literal
flying saucer	A term often used to refer to a suspected alien spacecraft.	A saucer that is flying.	In the sentence, 'There is a display here featuring some of the unknown artifacts found at the site where a flying saucer allegedly crashed in 1947,' the phrase 'flying saucer' is used in its idiomatic sense referring to an alleged alien spacecraft.	In this context, 'flying saucer' is used idiomaticaly to refer to the alleged crash of an alien spacecraft in 1947. The term isn't referring to a literal saucer flying through the air, but to a suspected extraterrestrial vehicle, as is commonly associated with reports of U.F.Os.	idiomatic
act of God	An event caused directly by natural forces that could not have been prevented by human means.	An act performed by a divine entity.	In the sentence, 'Whether an event is intentional, accidental or an act of God, knowing how to properly respond when a crisis occurs in the workplace is critical,' the phrase 'act of God' is used idiomatically to denote unforeseeable natural events that couldn't have been prevented.	'Act of God' is being used here idiomatically to describe situations resulting from natural forces beyond human control. The context of the sentence is about dealing with crises of different nature in a workplace, among them natural disasters that are typically considered as 'acts of God' for their unpredictability.	idiomatic
field work	Work conducted outside the office or laboratory, typically in a natural environment or at a location relevant to the research being conducted.	Work done within a field that could be pertaining to farming or other agricultural activities.	In the sentence, 'One of the highlights of the Mississippi Freedom Project happened during our first year of oral history field work in the town of Indianola,' 'field work' is used in the idiomatic sense as work that is carried out in the actual location where the topic of study happens or exists.	In this context, 'field work' refers to research conducted in the actual location where the events of interest occur. Here, it relates to gathering oral history in the town of Indianola, which implies interviews and observations. There is no hint that this implies work done on a literal agricultural field.	idiomatic
big wig	A person of high rank or importance.	A large hairpiece or wig.	In the sentence, 'Montenegro used a big wig and glasses to deliver chatty, comic commentary and criticisms, some concerning the local government,' the term 'big wig' is used literally to describe a large wig that Montenegro wore while engaging in commentary and criticism.	The mention of 'big wig' here refers to an actual large wig that Montenegro used during his comic commentary and criticisms. This depiction focuses on the physical aspect of the wig itself, and not on any implication of Montenegro being a highly significant or influential person, as suggested by the idiomatic use of the term.	literal
