target_phrase	idiomatic_meaning	literal_meaning	contextual_considerations	verbose_explanation	result
cold turkey	To abruptly stop a habit, typically a harmful one, without checking or tapering off.	A turkey that is cold.	In the context sentence, 'cold turkey' is used to refer to the abrupt discontinuation of a habit that could lead to negative consequences, aligning with its idiomatic meaning.	In this context, 'cold turkey' refers to the abrupt cessation of a certain behavior, highlighting the risk of relapsing into old habits. It provides an idiomatic interpretation of the phrase, as it doesn't involve a literal cold turkey but the abrupt termination of an undesirable action.	idiomatic
low-hanging fruit	A person or thing that can be won, obtained, or persuaded with little effort.	Fruit that grows low on a tree, and is thus easy to reach.	In the context sentence, 'low-hanging fruit' is used to describe apples that are easy to reach because they are growing low on a tree, which aligns perfectly with the literal meaning of the term.	Here, 'low-hanging fruit' is used literally to denote fruit (in this case, apples) that are hanging low on a tree and thus easy to pluck. The context doesn't align with the idiomatic usage, which involves tasks that are easy to achieve and require little effort.	literal
busy bee	A person who is busy or industrious.	A bee that is actively involved in its tasks.	The context sentence uses 'busy bee' as part of a description of a paperweight, suggesting an industrious bee interacting with flowers. This usage aligns with the literal meaning of the term.	In this context, 'busy bee' actively refers to a bee that is busy, depicted as being busy amongst the flowers in a summer garden. This is then contained in the described crystal paperweight. The use aligns mainly with the literal interpretation as it describes the actual activity of a bee.	literal
wet blanket	A person who spoils other people's fun by failing to join in with or by disapproving of their activities.	A blanket that has become damp or moist.	In the context sentence, 'wet blanket' is used as a slang term for a 'party pooper', a person who dampens the mood or spoils the fun, aligning with the idiomatic usage of the term.	In this context, 'wet blanket' is used as an idiomatic term for someone who spoils the fun or brings down the mood, typically used in social situations. The association with 'party poopers' in the sentence solidifies the idiomatic usage, referring to people who dampen the mood rather than an actual damp blanket.	idiomatic
chicken feed	A small amount of money.	Food given to chickens.	The context sentence uses 'chicken feed' to describe the expenditure on transit expansion as a small amount of money in comparison to other expenses, which aligns with the idiomatic usage of the term.	In this sentence, 'chicken feed' is used to convey that the $2 billion spent on transit expansion is small or insignificant when compared to some larger context likely mentioned earlier in discussion. This aligns with the idiomatic interpretation, which refers to a trivial amount of money, rather than literal feed for chickens.	idiomatic
monkey business	Silly, foolish, deceitful, or mischievous behavior.	The behavior or activities of monkeys.	In the context sentence, 'monkey business' refers to the activities or tasks related to the care of monkeys in a zoo. It is not used to describe deceitful or mischievous human behavior, which aligns with the literal meaning of the phrase.	In this specific context, 'monkey business' refers to the literal activities or tasks associated with the care and maintenance of monkeys in a zoo. It does not refer to the idiomatic usage of the phrase, which denotes deceitful, mischievous or foolish behavior of humans.	literal
grass roots	The most basic level of an activity or organization; ordinary people regarded as the main body of an organization's membership.	A part of the plant that grows downwards into the soil to hold the plant in place.	In the given context, 'grass roots' is used to discuss social justice activism at the basic or most local level. The phrase does not refer to any actual grass or vegetation. This aligns with its idiomatic meaning.	In this context, 'grass roots' refers to the fundamental or lowest levels of community organization or action. Given the context of activism and social justice, it aligns with the idiomatic understanding of 'grass roots' as the base or most fundamental level of organization. It does not refer to the literal roots of grass.	idiomatic
marching orders	Instructions to leave or to do something specific; dismissal from employment.	Military instructions for a marching unit.	In the context sentence, 'marching orders' is used to describe a soccer player being dismissed from the field for a foul, as if given an order to leave, aligning with its idiomatic usage.	In this context, the phrase 'marching orders' is used idiomatically to refer to Defender Brown being instructed to leave the field or being 'sent off' due to a foul committed. It does not connote the literal understanding of the phrase, which would pertain to a military marching unit.	idiomatic
panda car	A small or medium-sized police car in the United Kingdom, typically white with blue and yellow markings.	A car that is related to or resembles a panda in some way.	The phrase 'panda car' in the context sentence refers to a specific kind of police vehicle used in the United Kingdom, aligning with its idiomatic usage.	In this context, 'panda car' refers to a certain type of police car used in the UK. It's an idiomatic term in British English related to law enforcement, and doesn't have anything to do with literal pandas or panda-themed cars.	idiomatic
bread and butter	A person's livelihood or main source of income.	Simple food, involving sliced bread with butter spread on it.	In the sentence, 'bread and butter' refers to food items wanted along with curry chicken and rice, aligning with the literal meaning of the phrase.	In this scenario, the usage of 'bread and butter' indicates actual food items - bread with butter spread on it. The phrase is mentioned along with curry chicken and rice, confirming that it is used in a literal context rather than referring to a main source of income or livelihood.	literal
chocolate teapot	A thing that's of no practical use.	A teapot made out of chocolate.	Looking at the context sentence, 'chocolate teapot' is used to refer to Arsenal's defense as something that is of no practical use. This aligns with the idiomatic meaning of the term.	In this particular sentence, 'chocolate teapot' is used idiomaticaly to suggest that Arsenal's defence is practically useless. The phrase is a common British idiom to describe something that has no practical value, rather than a literal teapot made out of chocolate.	idiomatic
pig's ear	Mess or muddle, typically as a result of mishandling or incompetence.	The ear of a pig.	In the context sentence, 'pig's ear' is used to represent the literal part of a pig that can be made into a delicious dish, completely separate from the idiomatic usage indicating a mess or muddle.	In this specific context, 'pig's ear' refers to the physical ear of a pig. Some chefs are able to turn it into a delicious dish, likely through specific preparation and cooking methods. The context doesn't align with the idiomatic use of the term, which typically denotes a situation that has been handled poorly.	literal
best man	The chief male attendant to a bridegroom at a wedding, traditionally responsible for arranging the stag night and helping the groom on the day of the wedding.	The male considered to be superior or surpassing others in a particular respect.	The context sentence talks about the 'best man' being the quickest and most intelligent driver, not the primary assistant to a groom in a wedding. This aligns with the literal meaning of the term.	In the provided context, 'best man' is used to refer to the top or superior man in a specific respect, in this case, quick and intelligent driving. This is a literal usage, establishing the individual not in the role of a wedding assistant, but as someone distinguished by their quick and intelligent driving skills.	literal
big cheese	An important person, a leader; someone who is in charge.	A large portion or piece of cheese.	In the context sentence, 'big cheeses' refers to significant or influential people from well-established companies. It does not pertain to any actual cheese, which aligns with its idiomatic usage.	In this sentence, 'big cheese' is used to describe important or influential people linked to well-established companies. The usage aligns with the idiomatic interpretation, referring not to the literal meaning of a large portion of cheese, but those in authoritative or influential roles.	idiomatic
eager beaver	A person who is enthusiastic and hard-working.	A beaver that is eager or enthusiastic.	In the context sentence, an 'eager beaver' refers to a literal beaver that is keen or eager to establish a river dam in its habitat, aligning with the literal usage of the term.	In this au courant context, 'eager beaver' refers to an actual eager or industrious beaver that is keen on establishing a river dam in its habitat. The phrase doesn't relate to the idiomatic usage that normally represents a keen, enthusiastic, and hard-working human.	literal
hair of the dog	To consume more alcoholic drinks in order to relieve a hangover.	The fur of a canine animal.	The context sentence mentions 'a Bloody Mary over brunch' and 'Scotch bonnet vodka'. These alcoholic drinks align with the idiomatic use of the phrase 'hair of the dog'.	In this sentence, 'hair of the dog' is used to refer to the practice of consuming alcoholic drinks, namely Bloody Mary and Scotch bonnet vodka, with the aim of relieving a hangover. This aligns with the idiomatic meaning; there's no mention of any literal dog fur.	idiomatic
thin ice	In a situation of potential trouble or danger, often due to behavior or actions.	Ice that is not thick or strong enough to bear weight.	The context sentence discusses 'children playing on thin ice during winter', aligning more with the literal interpretation.	Here, 'thin ice' refers to an unsafe surface where children are playing during winter, suggesting actual physical ice that's not thick enough to bear weight safely. It doesn't suggest precarious or dangerous behavior, pointing to a literal interpretation.	literal
snake in the grass	A person who is deceitful and not to be trusted; a traitor.	A snake that is located in an area with tall grass.	The context sentence talks about an actual snake in grass being photographed, which clearly points towards a literal interpretation.	The phrase 'snake in the grass' is used here to literally describe a snake that was in the grass, which the narrator photographed as part of a camouflage collection. The sentence does not suggest any deceitful or untrustworthy person, indicating a literal use of the phrase.	literal
flea market	A type of bazaar where used goods are sold, typically inexpensive or secondhand items.	A marketplace infested with fleas.	The context sentence refers to a site viewed as an online flea market where supply and demand dictate prices, clearly aligning with the idiomatic interpretation.	In the sentence, 'flea market' refers metaphorically to an online platform where users buy and sell items. It doesn't suggest a marketplace literally infested with fleas, but rather conveys the idea of a bazaar-like environment, implying an idiomatic usage.	idiomatic
big fish	Someone who is important or influential within a particular context or sphere.	A fish that is larger than the average size.	In the provided sentence, 'the big fish at Mattel Inc.' is referring to a key or important person, which aligns with the idiomatic interpretation.	The term 'big fish' in this context refers to an influential or important individual at Mattel Inc. Rather than referring to a literal large aquatic creature, the term is used idiomatically to highlight the person's role or status within the organization.	idiomatic
fancy dress	A type of costume or outfit often worn for a special occasion or at a themed event.	An extravagant or elaborate piece of clothing.	The context sentence refers to getting a new fancy dress to wear to Sunday school, which is more aligned with the literal interpretation of a special, possibly elaborate, piece of clothing.	In this context, 'fancy dress' refers to a special or elaborate piece of clothing for wearing to Sunday school. There's no indication of any costume or outfit worn for a themed event, thus the phrase appears to be used in a literal sense, not the idiomatic one.	literal
snail mail	Traditional postal mail service, so named because of its slower delivery speed compared to email and other digital communication methods.	Mail delivered by a snail.	This context sentence talks about children placing an envelope on the back of a snail as a pretend mail delivery service, suggesting a literal interpretation.	Here, 'snail mail' is taken quite literally, with an amusing image of an envelope attached to an actual snail. It is definitely not being used its common idiomatic sense to refer to traditional postal service.	literal
heart of stone	To be devoid of sympathy, compassion or other human feelings; often used to describe someone unfeeling or cruel.	A heart, typically used as a metaphor for one's emotions or sensibilities, made of stone.	The context sentence uses 'heart of stone' to describe someone, Charles, who would act in an unsympathetic or merciless manner, aligning with the idiomatic interpretation.	In this context, the term 'heart of stone' means being devoid of compassion or humanity – used to describe someone who could turn her over to someone else without remorse or sympathy. The sentence does not suggest a literal heart made of stone.	idiomatic
party animal	Someone who loves to attend parties and socialize, often expressive and boisterous.	An animal that is present at a party.	The context sentence describes 'Milly' as a 'party animal' who has now settled down, which seems to clearly use the phrase in its idiomatic sense.	Here, 'party animal' is used to characterize Milly as someone who enjoys going to parties and socializing, but has now settled into a quieter lifestyle. It does not suggest that Milly is literally an animal who attends parties, thereby indicating an idiomatic use of the phrase.	idiomatic
cold feet	To feel apprehension or doubt strong enough to prevent a planned course of action.	Feet that are physically cold.	The context sentence describes a man who has cold feet because of the temperature, which aligns with the literal interpretation.	The phrase 'cold feet' here refers to the physical condition of the man's feet being cold from the weather, not any apprehension or doubt preventing him from going ahead with a planned action. Thus, it is used in a literal sense.	literal
couch potato	A person who spends a great deal of time watching television, generally leading a sedentary lifestyle.	A potato that is on a couch.	In the sentence, the term 'couch potato' refers to a plush cushion which is in the shape of a potato. This suggests a more literal take on the phrase, as the cushion isn't watching TV or living a sedentary lifestyle.	In this particular context, the term 'couch potato' is used to quite literally describe a plush cushion in the shape of a potato that's on a couch. The context does not imply a person who is lethargically watching television or living a sedentary lifestyle, hence it is a literal usage.	literal
peas in a pod	Very similar, almost identical or cloned; often used to describe two or more individuals who are very much alike in terms of appearance, behavior or beliefs.	Peas that are inside a pod.	The context sentence uses the phrase 'peas in a pod' to state that spearfishermen are not the same and do not use identical guns, suggesting the idiomatic interpretation is being negated.	In this context, 'peas in a pod' is used to emphasis that spearfishermen are not all alike, contradicting the idiomatic meaning of the phrase. The context denies a similarity or identical behavior, implying that the phrase is being used in its idiomatic sense, but inverted to make a point.	idiomatic
sour grapes	Expressions of scorn, jealousy or resentment stemming from failure or disappointment.	Grapes that taste acidic or tart.	The context sentence talks about 'sour grapes' among other notes like 'lactic', 'acetic', and 'citric', suggesting a literal interpretation relating to the tart or acidic taste of the fruit.	In this context, 'sour grapes' is used to literally describe a particular flavour note. The sentence does not suggest any scorn, jealousy or resentment, but physical taste descriptors instead – hence it is a literal usage.	literal
hot air	Empty, exaggerated or insincere talk; deceptive or misleading speech or claims.	Air that is higher in temperature as compared to the surrounding air.	The context sentence uses 'hot air' to refer to French men possibly being all talk and no substance, which aligns with the idiomatic interpretation.	In this context, 'hot air' is used metaphorically to suggest that French men's claims to be good lovers are empty, exaggerated, or insincere. There's no reference to any actual air temperature, indicating the phrase is being used in its idiomatic sense.	idiomatic
green light	To give permission to proceed with a project or action.	A signal indicating permission to proceed, used especially in traffic signals.	The sentence describes a person not allowing the driver to go across a 'green light', suggesting a literal interpretation in relation to traffic signals.	In the given context, 'green light' is used to refer to a traffic light signal allowing vehicles to go. This does not suggest the idiomatic use of the phrase as permission to proceed with a project or action, hence the phrase is used in a literal sense.	literal
watering hole	A local bar or similar establishment where people gather to drink and socialize.	A natural source of water that wild animals come to drink from.	The context sentence clearly describes a literal 'watering hole' visited by animals, not a social gathering spot for people.	In the given sentence, 'watering hole' refers to a physical location where animals (elephant, buffalo, giraffe, and antelope) come to drink water - a direct and literal interpretation of the phrase. It does not refer to a local bar or gathering spot for socializing, thus it's not used in its idiomatic sense.	literal
flying saucer	A term often used to refer to an unidentified flying object (UFO), typically characterized as a disc or dish-shaped craft from outer space.	A saucer that is flying.	The sentence refers to a 'flying saucer' as an unknown artifact from a site where such a craft reportedly crashed, aligning with the idiomatic meaning relating to UFOs.	Here, 'flying saucer' is used to describe an unidentified flying object of the type associated with alien visitations, specifically referring to artifacts at a crash site. The phrase doesn't suggest a common saucer literally flying, hence it is used in its idiomatic sense.	idiomatic
act of god	An event that is caused by the effect of nature and cannot be predicted, controlled, or prevented by humans.	An act performed by a deity or divine being.	The context sentence talks about how to respond when a crisis occurs in the workplace which could be intentional, accidental or an 'act of god'. This usage aligns with the idiomatic interpretation.	In this context, 'act of god' refers to an unpredictable event or crisis in the workplace that occurs due to natural causes and is beyond human control, aligning with the idiomatic interpretation. The phrase is not suggesting an action actually performed by a divine being.	idiomatic
field work	Work conducted outside an office, laboratory, or other standard workspace, often involving 'hands-on' tasks or interaction with the environment or people.	Work that happens in a field, as in an open piece of land.	The context sentence talks about the 'oral history field work in the town of Indianola', which aligns with the idiomatic meaning.	In this sentence, 'field work' refers to work done outside a traditional office or academic setting, specifically the practice of gathering oral histories in the town of Indianola, hence aligning with the idiomatic usage. The context does not suggest labor performed on an actual open field or farmland.	idiomatic
big wig	An important person, usually in a particular sphere or organization.	A sizable hairpiece worn on the head.	The context sentence discusses 'a big wig and glasses' used to deliver commentary and criticisms, suggesting a literal interpretation.	In this sentence, 'big wig' refers to a literal large hairpiece used by Montenegro. The sentence does not allude to a significant or important person within an organization, rather it describes physical attire used for a performance, indicating a literal usage.	literal
