target_phrase	idiomatic_meaning	literal_meaning	contextual_considerations	verbose_explanation	result
brain surgery	Often used colloquially to refer to something complicated, difficult or requiring specialist knowledge.	Surgical procedures involving the brain, usually done by specialist neurosurgeons.	"The sentence, ""Patients with epilepsy now have another option for brain surgery that offers more precision and a faster recovery,"" clearly refers to the literal meaning of brain surgery as a medical procedure."	"In this sentence, ""brain surgery"" is used in its literal sense to refer to medical procedures performed on the brain, specifically highlighting a new option for epilepsy patients that allows for increased precision and faster recovery."	literal
red flag	A sign or warning of existing or impending trouble, danger, or disaster.	A flag with a red color.	"The sentence, ""During the student uprising that forms much of the climax of Les Miserables, the revolutionaries wave a red flag as a symbol of their movement,"" refers to a literal red flag used as the symbol of a revolutionary movement."	"In this context, ""red flag"" is being used to literally describe a flag that is red in color. The revolutionaries in Les Miserables are physically waving a red flag as a symbol of their movement, as opposed to the phrase signaling a warning or impending danger—an idiomatic use."	literal
white elephant	A possession that is expensive, useless, and difficult to maintain or get rid of. It often refers to something that initially seems valuable but turns out to be a burden or costly.	An elephant that is white in color.	"The sentence, ""When the King of Siam disliked a courtier, he gave him a beautiful and delicate white elephant as a gift,"" uses the concept of the 'white elephant' as a burdensome gift, in line with the idiomatic use of the phrase."	"In this context, ""white elephant"" is used idiomatically to describe a burdensome or costly gift. The context of the sentence aligns with this interpretation, where a king intentionally bestows an expensive and difficult-to-maintain animal on a courtier he dislikes, to burden him with the costs of care. This aligns with the idiomatic usage."	idiomatic
two-way street	A situation or relationship where both parties must put in equal effort or both can benefit.	A street or road where traffic can flow in two directions.	"""We're focusing our efforts on getting more men to participate and join the conversations, showing them that a lot of the discussion is a two-way street, and we need to be part of the dialogue as well."" Here, ""two-way street"" is used to explain the dynamic of conversation and engagement, which implies the idiomatic use."	"In this sentence, ""two-way street"" is used idiomatically to imply that conversation and engagement involve efforts and active participation from both parties (in this case, men and others). The phrase here is not used to describe the physical or directional details of a street."	idiomatic
rat run	A shorter unofficial route or side road used by drivers to avoid heavy traffic.	A path or trail used by rats to get around, often in urban environments.	"The sentence, ""When you see a live rat, rat run or rat burrow, take action immediately,"" is clearly referring to the literal meaning of 'rat run' - a path typically used by rats."	"In this context, a ""rat run"" refers to a physical run or trail that rats use for their movement. The mention of seeing a live rat and a rat burrow further cements this interpretation, as it signifies a discussion about pest control, not about traffic or side routes."	literal
graveyard shift	A work shift that runs through the late night and early morning hours, typically covering the period around midnight to dawn.	A shift of work taking place in a graveyard.	"In the sentence, ""It was my turn once again to do the graveyard shift at work, and I wasn't looking forward to being at the church surrounded by gravestones,"" the phrase ""graveyard shift"" seems to carry both its idiomatic and literal meanings. The work being done is during the late-night hours (idiomatic usage) and it is taking place in a graveyard (literal usage)."	"In this sentence, ""graveyard shift"" refers both to the idiom that denotes late-night work and the literal interpretation referring to a job carried out in a graveyard. The narrator is speaking about an upcoming shift at a church, which is traditionally surrounded by a graveyard. This shift also seems to occur late at night, falling within the traditional timeframe of a 'graveyard shift'. Thus, both interpretations are valid in this context."	both
dirty money	funds earned in a dishonest or illegal manner	money which is unclean or filthy	In the context sentence, 'dirty money' refers to physical currency that may be dirty or unclean. The part about spreading infection indicates that the use of the term is more literal, dealing with physical cleanliness issues, not ethical or legal ones.	The term 'dirty money' in this sentence means actual paper currency or coins that are physically unclean or contaminated. Touching these and then touching public surfaces can spread diseases. Thus, it does not refer to illicitly obtained funds or wealth as in its idiomatic sense	literal
high life	to live a luxurious or extravagant lifestyle, often characterized by indulgence and excess	life at a high altitude or high position	In the sentence, 'high life' refers to the living condition of mountain goats at elevated altitudes, with no indication of luxury or indulgence, it's more about the physiological adaptations they have developed for survival at high altitudes.	The phrase 'high life' here refers literally to living at a high altitude as in the case of mountain goats. The sentence speaks of their increased lung capacity and agility developed due to such lifecyle, not an extravagant or luxurious lifestyle, which is the idiomatic interpretation of the phrase.	literal
pain in the neck	an annoying or irritating person or thing	physical discomfort or pain in the neck region of the body	In the sentence, 'pain in the neck' does not refer to physical pain; instead it is used to denote a difficult or bothersome process of doing business with the government.	The phrase 'pain in the neck' here conveys a metaphorical concept. It implies that doing business with the government is generally challenging or problematic, rather than being physically painful.	idiomatic
guinea pig	a person or thing used as a subject for experiment	a type of small, domesticated rodent	The context sentence uses 'guinea pig' to refer to the actual animal and not in the context of experiments or trials. It describes diet requirements of the rodents, thereby confirming a literal usage of the term.	The term 'guinea pig' in this context refers to the small pet animal, as the description is about their specific dietary needs rather than being a metaphor for someone used as a test or experiment.	literal
cat's eyes	reflective road safety devices used on roads to provide night visibility and safe driving conditions	the eyes of a feline	In the provided sentence, 'cat's eyes' refers to the eyes of Ms. Rusby's cat. The pairing with 'reflecting some dim light' reinforces this literal use.	The term 'cat's eyes' here literally means 'the eyes of the cat'. The eyes of the cat reflected some dim light, inspiring Ms. Rusby for a title. It doesn't indicate reflective road safety markers as in its idiomatic usage.	literal
cold turkey	To quit a habit or addiction abruptly and completely, without progressively weaning off of it	actual cold turkey meat	In the context sentence, the term 'cold turkey' is used to represent abruptly quitting an old habit. The reference to relapsing back to old habits suggests an addiction or bad habit context.	In this sentence, 'cold turkey' indicates the act of quitting an addiction or bad habit suddenly. The phrase is used to signal the difficulty and potential pitfalls of such an abrupt change, not the consumption of literal cold meat from a turkey.	idiomatic
low-hanging fruit	tasks, actions or things which are easy to achieve or obtain	fruit that grows low on a tree and is therefore easily reachable	The context sentence presents 'low-hanging fruit' as literal fruit hanging low on a tree, which is easy to reach and pick. It doesn't refer to easily achievable tasks.	In this instance, 'low-hanging fruit' is fruit literally hanging low on a tree within easy reach to pick. The woman picks the fruit from the tree and fills her basket. This sentence does not describe easy tasks or goals as in the idiomatic interpretation.	literal
busy bee	a person who is busy or industrious	a bee that is busy or active	As described in the sentence, 'busy bee' refers to a bee that is buzzing in a garden. It refers to the literal insect in its depiction on a paperweight, not a person.	The term 'busy bee' in the sentence refers to a bee that is buzzing through a summer garden, depicted on a paperweight. Therefore, it is a literal use referring to the insect's activity, not metaphorically indicating an industrious person.	literal
wet blanket	someone who spoils other people's fun or does not join in with an activity	a blanket that is soaked or damp	In the given sentence, 'wet blanket' does not refer to a literal damp or soaked blanket. It is used to refer to people known for spoiling fun or being party poopers, aligning with its idiomatic usage.	Here, 'wet blanket' is used idiomatically to refer to people who are seen as party spoilers or those who don't participate in fun activities, thereby dampening the atmosphere. It does not mean a literally damp blanket in this context.	idiomatic
chicken feed	an amount of money that is small or insignificant	food that is specifically purposed to feed chickens	In this context, 'chicken feed' is used to imply that the amount of $2 billion is relatively small or insignificant when compared with something much larger, aligning with its idiomatic meaning.	The term 'chicken feed' in this sentence means a very small or insignificant amount of money. The comparison indicates that the $2 billion spent on transit expansion is considered a small amount, not a literal food for chicken.	idiomatic
monkey business	dishonest or deceitful behavior	the activities or behavior of monkeys	The phrase 'monkey business' in the context of the sentence is used to mean the literal actions or behaviors of monkeys. The zookeeper's work at the primate enclosure aligns with this interpretation.	In this context, 'monkey business' refers to the literal activities of caring for monkeys in a zoo, including feeding them, cleaning their enclosures, etc. It's not referring to any dishonest or deceitful behavior, which is the idiomatic meaning of the phrase.	literal
grass roots	the most fundamental level of a community or organization	the part of a plant that grows underground, anchoring it and absorbing nutrients	The sentence refers to 'grass roots' as the basic level in the community where activism for social justice is pursued. It suggests the initiations and operations at the most basic or local level, aligning with the idiomatic usage.	Here, 'grass roots' level refers to the base level of a community or organization. It means the fundamental level of activism in the community, in the pursuit of social justice in this case, rather than the underground parts of a grass plant.	idiomatic
marching orders	an order to leave; a dismissal	military commands given for a march	The sentence uses 'marching orders' to mean someone being ordered to leave a game or activity, after committing an offence, in this case for a professional foul in football.	In this context, 'marching orders' represents an idiomatic expression. This term is used to signify that a player (Defender Brown) was required to leave the soccer game due to a foul committed, thus facing dismissal, not a military command for a march.	idiomatic
panda car	a small British police car	a car that has a color marking or themed after a panda	The sentence uses 'panda car' in the context of someone being on duty and responding to a road accident, referring to a police car, aligning with its idiomatic usage in British English.	In this context, the term 'panda car' is used to indicate a small police patrol car in the British police force, not a car that is themed or marked after a panda bear.	idiomatic
bread and butter	primary source of income or the work that provides your livelihood	the basic meal of bread spread with butter	In the given sentence, 'bread and butter' is used in a list with 'curry chicken and rice'. This suggests that it is part of a meal and thus has a literal meaning.	In this sentence, 'bread and butter' literally refers to the common food items. The phrase is part of a list of food items desired by someone. It does not indicate a primary source of livelihood or significant occupation.	literal
chocolate teapot	Something that is fundamentally useless or ineffective, as a chocolate teapot would melt when used for its intended purpose - to hold hot liquid.	A teapot made out of chocolate.	"In the sentence, ""Nonetheless, the striking partner of the two is often undermined by chocolate teapot Arsenal's defence,"" the phrase ""chocolate teapot"" is used to describe the defense of a football team, referred to as Arsenal. It's unlikely that the phrase is being used to literally describe the defense as a teapot made out of chocolate."	"In this sentence, ""chocolate teapot"" is used metaphorically to illustrate how Arsenal's defence is ineffective or useless, much like a literal chocolate teapot would be in its intended function."	idiomatic
pig's ear	To make a complete mess or muddle of something. Originally a British phrase, it can also be used to indicate that something has been executed in a clumsy or inept fashion.	The ear of a pig.	"In the context of the sentence, ""Some skilled chefs can make a pig's ear into a delicious dish,"" the phrase ""pig's ear"" is used to refer to a particular part of the pig used as an ingredient for cooking. "	"Here, the use of ""pig's ear"" is in its literal sense, referring to the actual ear of a pig which can be cooked into a appetizing dish, suggesting the aptitude of the chef."	literal
best man	The chief attendant to the groom at a wedding, typically a close friend or relative.	The most outstanding or excellent man.	"The sentence, ""The best man means the quickest driver and the most intelligent driver,"" describes the ""best man"" not in a wedding context, but in terms of qualities relevant to driving."	"In this sentence, ""best man"" is used in the literal sense to designate the man who is the swiftest and smartest in terms of driving. It does not refer to the usual idiomatic meaning related to a wedding ceremony."	literal
big cheese	An important person, a leader; sometimes a person who is pompous or self-important.	A sizable portion of cheese.	"In the sentence, ""I've just spent a week trawling round Silicon Valley, talking to a mix of developers, entrepreneurs, venture capitalists, industry observers and big cheeses from well established companies,"" the phrase ""big cheeses"" refers to people, not actual cheese."	"In this context, ""big cheese"" is used in its idiomatic sense to indicate important, influential figures in well-established companies, showcasing their status and authority."	idiomatic
eager beaver	A person who is enthusiastic and hardworking.	A particularly keen beaver.	"In the sentence, ""Keen to get the river dam established in its habitat, the eager beaver set to work gathering sticks and felling trees with its teeth,"" the phrase ""eager beaver"" is used to describe an actual beaver, working hard to build a dam."	"Here, ""eager beaver"" is used in the literal sense, referring to an actual beaver that is enthusiastically working to construct a dam. The term is not being used to characterize a person as diligent."	literal
hair of the dog	A small amount of alcoholic drink taken to cure a hangover.	The fur of a dog.	"The sentence, ""In case a Bloody Mary over brunch isn't hair of the dog enough, why not add a lil' Scotch bonnet vodka to awaken your senses?"" uses ""hair of the dog"" in the context of alcoholic drinks, suggesting its idiomatic usage."	"The phrase ""hair of the dog"" in this sentence refers to the idiom of drinking alcohol to alleviate the symptoms of a hangover. It doesn't relate to the literal fur of a dog but to the metaphorical idea of using the 'cause' (alcohol) as the cure for the 'effect' (hangover)."	idiomatic
thin ice	A precarious or risky situation.	Ice that is not thick or strong.	"In the sentence, ""During the winter, children often play on thin ice, unaware of the danger beneath their feet,"" the phrase ""thin ice"" is used in a literal sense to refer to ice that is not thick or sturdy enough."	"""Thin ice"" here is taken literally, referring to the actual physical condition of the ice being perilously thin, posing a risk to the children playing on it."	literal
snake in the grass	A concealed danger, or a person who pretends to be your friend but who is really your enemy.	An actual snake hiding in the grass.	"In the context sentence, ""After rescuing myself and my gear with my Sherpa's expert assistance, I photographed the sneaky snake in the grass and added the shot to my camouflage collection,"" the phrase ""snake in the grass"" is referring to an actual snake that is in the grass."	"The phrase ""snake in the grass"" in this context is being used in a literal sense to describe a snake that is slyly hiding in the grass. The author's action of photographing it supports the literal interpretation."	literal
flea market	A type of bazaar that rents or provides space to people who want to sell or barter merchandise, usually secondhand.	A market for fleas.	"The sentence, ""Some people view the site as an online flea market where supply and demand dictate prices,"" uses ""flea market"" to describe a type of marketplace, not an actual market for selling fleas."	"In this context, ""flea market"" is an idiomatic term used to describe an online platform, likened to a type of bazaar where items (often secondhand goods) are sold or traded, and prices fluctuate based on supply and demand."	idiomatic
big fish	An important or influential person.	A large specimen of a fish.	"The sentence, ""Earlier this year, the big fish at Mattel Inc. was asked by an American magazine to name his favourite gadget,"" uses ""big fish"" to refer to an important person at a company, not an actual large fish."	"""Big fish"" in this sentence is an idiomatic expression used to describe a powerful, influential person at Mattel Inc. who has been asked to name his favourite gadget. The term doesn't refer to a literal large fish."	idiomatic
fancy dress	A type of costume usually worn at masquerades, costume parties or on Halloween.	A dress that is elaborate or stylish in design.	"The phrase ""fancy dress"" in the sentence ""As a child I remember my sister and I used to always get a new fancy dress and often a hat to go along with it to wear to Sunday school,"" refers to a kind of clothing, suggesting its non-idiomatic use."	"In this sentence, ""fancy dress"" is taken to mean a stylish or special dress that the speaker and her sister would wear to Sunday school. The context doesn't suggest a costume or masquerade outfit, therefore the term is used in its literal sense."	literal
snail mail	Regular postal service, as opposed to electronic mail.	Mail delivered by snails.	"In the sentence, ""The children giggled as they placed a tiny envelope on the back of a snail, imagining it as their new snail mail delivery service,"" the phrase ""snail mail"" is used in a literal sense as the children are pretending that a real snail is delivering their mail."	"In this context, ""snail mail"" is interpreted literally as mail being delivered by an actual snail. The children's imaginative game involves putting a tiny envelope on a snail, which doesn't reflect the idiomatic meaning of the term referring to regular postal service."	literal
heart of stone	An unfeeling, cruel or unyielding persona.	A heart made out of stone.	"In the sentence, ""Charles would have to have a heart of stone to turn her over to Lilandra, or do anything else along those lines,"" the phrase ""heart of stone"" is used to describe a lack of emotion or compassion, instead of an actual stone heart."	"The phrase ""heart of stone"" in this context is used idiomatically to describe a person (Charles) as being unfeeling or callous, especially in the hypothetical situation of turning someone (her) over to Lilandra. It doesn't refer to a literal heart made of stone."	idiomatic
party animal	A person who enjoys parties and the nightlife excessively.	An animal attending a party.	"The sentence, ""Milly was the party animal who has now settled down into the seemingly perfect life with a rockstar husband and two loving children,"" uses ""party animal"" to describe a person who enjoys parties, not a literal animal at a party."	"In this context, ""party animal"" is an idiomatic term used to describe Milly - a person who previously enjoyed parties and the nightlife excessively but has since settled into a more quiet and stable lifestyle."	idiomatic
cold feet	A loss of nerve or confidence.	Feet that are physically cold.	"The sentence ""The broad-shouldered man tightened the red scarf around his neck and blew on his hands, stamping his cold feet on the hard wet cobblestones,"" is referring to a man whose feet are physically cold due to the weather conditions."	"In this sentence, ""cold feet"" is used in a literal sense to describe the man's feet that are cold, likely due to cold weather. It doesn't refer to the idiom meaning a loss of nerve or confidence."	literal
couch potato	A person who spends a lot of time sitting or lying down, usually watching TV or engaging in other passive forms of entertainment.	A potato that is on a couch.	In this context sentence, the word 'couch potato' is referred to as a 'plush tuber-shaped cushion.' The description implies it's a physical, tangible object rather than a metaphor for a lazy person.	"In the sentence, ""After a long day, Sarah snuggled up on the sofa with her couch potato, a plush tuber-shaped cushion that had been a gift from her aunt."", 'couch potato' actually means a potato-shaped cushion on a couch, a literal and tangible object. There's no indication that it stands for an idiomatically lazy person."	literal
peas in a pod	Two or more people who are very much alike or share many similarities.	Peas contained within a pod, as in the case of green peas.	The sentence mentions spearfishermen and their diverse shapes, sizes and designs of their gear. This seems contrary to the idiomatic meaning of identical individuals or things similar to 'peas in a pod.'	The phrase 'peas in a pod' in this sentence is used to metaphorically express that spearfishermen are not like peas in a pod, emphasizing the idea that they are diverse and unique, unlike the uniform peas in a pod. Thus, here the phrase is used idiomatically.	idiomatic
sour grapes	Pretending to despise what one cannot have.	Grapes with a sour taste.	The sentence, refers to the flavor profile of something having notes from 'hints of lactic, acetic, definitely citric, with notes of tart apples, sour grapes and even some touches of exotic fruit.' This suggests a literal meaning of sour grapes rather than a figurative idiom.	The phrase 'sour grapes' in this sentence means grapes with a sour taste, as it is included among other flavors and aromas and is not used in a context suggesting jealousy or unattainable desires. Therefore, the phrase is used literally in this sentence.	literal
hot air	Empty talk that is intended to impress.	Air that has a high temperature.	"The sentence, ""French men, proud of their prowess as lovers, may actually be all hot air, according to a study by the National Demographic Studies Institute,"" seems to use the phrase 'hot air' in a manner that indicates empty or meaningless talk, rather than referring to the temperature of air."	The phrase 'hot air' in this sentence is used idiomatically to imply that the claims made about the prowess of French men as lovers could be empty boasts, not backed by actual evidence.	idiomatic
green light	Permission to proceed or to take a specified action.	A traffic light signal that indicates it is safe to proceed.	"The sentence, ""He was so frightened he wouldn't let the driver go across a green light in case he hit Rebecca and the twins coming the other way."" seems to use the phrase 'green light' in a literal sense, referring to a traffic signal, rather than permission to proceed."	The phrase 'green light' in this sentence is used to refer to the traffic signal that allows vehicles to proceed. There's no implication of permission or approval beyond the context of traffic regulation. Therefore, the phrase is being used here in its literal sense.	literal
watering hole	A bar or similar establishment where people gather to drink and socialize.	A place where animals regularly drink water, such as a pond or a small body of water in the wild.	"The sentence, ""It fits in perfectly with the surroundings and overlooks a watering hole visited every day by elephant, buffalo, giraffe and antelope."" uses the phrase 'watering hole' to denote a literal place where animals gather to drink water. It doesn't refer to an establishment where people socialize over drinks."	The phrase 'watering hole' in this sentence refers to a place where animals, including elephants, buffalos, giraffes, and antelopes, regularly come to drink water. Therefore, the phrase is used in its literal sense.	literal
flying saucer	An unidentified flying object, often associated with extraterrestrial beings.	A disc-shaped object flying in the sky.	"The sentence, ""There is a display here featuring some of the unknown artifacts found at the site where a flying saucer allegedly crashed in 1947."" uses the term 'flying saucer' to denote an unidentified flying object, possibly of extraterrestrial origin. It doesn't refer to any saucer or disc-like object merely flying."	The phrase 'flying saucer' in this sentence is used to refer to an unidentified flying object that allegedly crashed at a certain site in 1947. The artifacts from the crash are now part of a display. Hence, the phrase is used in its idiomatic sense.	idiomatic
act of god	A natural calamity which is not caused by human influences and could not have been prevented, including events like earthquakes, floods, etc.	An action, event or result perceived to be caused by divine intervention.	"The phrase 'act of God' in the sentence, ""Whether an event is intentional, accidental or an act of God, knowing how to properly respond when a crisis occurs in the workplace is critical."" is used to refer to an uncontrollable event, suggesting the idiomatic use of the term."	In this context, 'act of God' refers to a situation that isn't intentional or accidental but arises from uncontrolled, naturally occurring circumstances. This usage aligns with the idiomatic meaning within legal and insurance areas, and does not imply a direct divine action.	idiomatic
field work	Work done outside the office, in the 'real world', often involving hands-on activities related to research, exploration, or similar pursuits.	Work done in a field (agricultural setting).	"In the sentence, ""One of the highlights of the Mississippi Freedom Project happened during our first year of oral history field work in the town of Indianola."" the term 'field work' is used to denote work done outside of a studio or office, specifically referring to on-site research or study, aligning with the idiomatic use of the phrase."	In the provided context, 'field work' refers to research work conducted outside the confines of a typical work setting (like an office or lab), specifically in regards to the gathering of oral histories. Therefore, the phrase is used in its idiomatic sense here.	idiomatic
big wig	A person in a high position or with significant influence, usually within a particular sphere or organization.	A large wig.	"In the sentence, ""Montenegro used a big wig and glasses to deliver chatty, comic commentary and criticisms, some concerning the local government."" the phrase 'big wig' is used to refer to a literal large wig that a person named Montenegro used."	In this context, 'big wig' refers to a large, physical wig worn by Montenegro. There's no suggestion that it refers to an influential person or figure within an organization. Therefore, the phrase 'big wig' is used here literally.	literal
