target_phrase	idiomatic_meaning	literal_meaning	contextual_considerations	verbose_explanation	result
graveyard shift	A period of work, often in the early hours of the morning, from midnight to dawn.	A shift or period of work in a graveyard.	In the sentence, 'It was my turn once again to do the graveyard shift at work, and I wasn't looking forward to being at the church surrounded by gravestones,' the term 'graveyard shift' is used to denote a late-night work shift and, in this case, it is done in a literal graveyard so it could be both.	Here, 'graveyard shift' is used to mean an actual working shift that occurs at night, which aligns with the idiomatic interpretation. However, the mention of being in a church surrounded by gravestones suggests that the work shift is done in a graveyard. In this particular case the phrase is used both literally and idiomatically.	both
dirty money	Money received from illegal or unethical activities.	Money that is physically dirty or unclean.	In the context sentence, the phrase 'dirty money' is used to describe physical money that could potentially carry and spread infection. There is no reference or indication to money being earned from illicit activities, which suggests the phrase is used literally here.	Here 'dirty money' refers physically to money that might be dirty and could possibly help spread infection, underlining a health risk. It doesn't have a connection with the bad behavior or illegal deeds often associated with the idiomatic usage of 'dirty money'.	literal
high life	A lifestyle of affluence, luxury, or exciting activity.	Living at a great height above ground level.	The phrase 'high life' in this sentence refers to the literal high-altitude life of mountain goats, indicating a physical state, not a luxurious or indulgent lifestyle.	The phrase 'high life' in this sentence literally refers to the life of mountain goats which live at high altitudes. This physical state is further explained with attributes like their 'increased lung capacity' and 'remarkable agility', attributes necessary for survival in such terrain.	literal
pain in the neck	Something or someone that is annoying or troublesome.	A physical discomfort or injury in the neck area.	In the sentence, 'pain in the neck' does not refer to any physical discomfort or neck injury. It describes the notion of dealing business with the government as being troublesome or annoying, which aligns with the idiomatic usage of the phrase.	In this sentence, 'pain in the neck' is used idiomatic to denote the annoyance or trouble in dealing business with the government. It does not point to any literal pain or discomfort in the neck region.	idiomatic
guinea pig	A person or thing used as a subject for experiment.	A small, domesticated rodent of the species Cavia porcellus, often kept as a pet.	The sentence speaks about feeding a guinea pig, which is a literal pet animal, and mentions a specific diet for it. The context suggests a direct, factual statement about animal care, not an idiomatic representation.	The phrase 'guinea pig' in this sentence literally refers to the rodent commonly kept as a pet. The sentence discusses suitable diets for a guinea pig, therefore it definitely implies the animal, not the idiomatic sense of a test subject for experiments.	literal
cat's eyes	Reflective road studs used in road marking and were named due to their resemblance to cat's eyes.	The eyes of a feline, specifically a cat.	The sentence clearly states 'her cat's eyes' referring directly to the eyes of the speaker's pet cat. The context lacks any reference to roads, traffic or driving, excluding the idiomatic use of the phrase.	Here, 'cat's eyes' refers to the eyes of the cat that belongs to Ms. Rusby. The phrase is used in its literal sense, with the cat's reflective eyes inspiring a title, not in the traffic-related, reflective device sense as the road stud interpretation.	literal
cold turkey	To stop a habit or addiction abruptly and completely, without gradually reducing or tapering off. It often refers to ceasing a harmful behavior or substance like smoking or drugs.	A turkey that is cold.	In the sentence, 'Braithwaite adds that in many cases going cold turkey can lead to relapse back to old habits – or worse ones.' the phrase 'cold turkey' obviously does not refer to food. It depicts stopping a habit or addiction instantly, implying the idiomatic usage of the term.	The phrase 'cold turkey' in this sentence means someone abruptly ceasing an addiction or habit without gradually reducing or using any substitutes, suggesting that this could risk a relapse. The context does not suggest anything about literal turkey, thus the idiomatic interpretation stands.	idiomatic
low-hanging fruit	Easily achieved goals or tasks.	Fruits on a tree or plant that are close to the ground and easy to pick.	The phrase 'low-hanging fruit' in the sentence refers to physical fruit hanging low from a tree branch, which the subject of the sentence is plucking. It is not used to denote an easily achieved goal in this context.	In this sentence, 'low-hanging fruit' literally denotes that the fruit on the tree is hanging low enough to be easily picked. It does not metaphorically suggest an easily achievable task or goal, because the context is clearly talking about real fruit on a tree.	literal
busy bee	A person who is active, diligent, and hardworking.	A bee that is busy, often used to describe a bee's foraging or hive-building behavior.	The sentence talks about a 'busy bee buzzing through a summer garden landing on a delicate flower,' clearly indicating a literal bee busy with its natural activities.	In this context, 'busy bee' refers to an actual bee in action, buzzing around a garden. The details of the bee's activity — 'buzzing through a summer garden landing on a delicate flower' — clearly provide a literal interpretation, not figuratively suggesting a person that's active and diligent.	literal
wet blanket	A person who spoils other people's fun by failing to join in with or by disapproving of their activities.	A blanket that is wet.	The context doesn't suggest any need for an actual damp blanket, but it's a description of certain 'wise men' who are party poopers, which aligns more with the idiomatic use for someone who is a fun spoiler.	In this sentence, 'wet blanket' is used in its idiomatic sense to represent a person who spoils fun or dampens spirits. The context clearly relates to social situations and people's behaviors, not to the presence of an actual wet blanket.	idiomatic
chicken feed	A small or trivial amount of money.	Feed for chickens.	The context statement refers to the price spent on transit expansion being 'chicken feed', it clearly suggests a comparison of the money being a small or trivial amount, aligning with the idiomatic usage.	The phrase 'chicken feed' in this sentence is used figuratively, to classify the $2 billion spent on transit expansion as small or insignificant in comparison to other expenses or expectations. It does not imply literal food for chickens.	idiomatic
monkey business	Silly, foolish or deceitful behavior.	The behavior or activity of monkeys.	The sentence, 'The zookeeper spent his day taking care of the monkey business at the primate enclosure,' suggests that the phrase 'monkey business' is being used in a literal way to describe the activities of monkeys, and not in the idiomatic sense of deceitful or silly behavior.	In this context, 'monkey business' refers to the literal activities and behaviors of the monkeys in the primate enclosure. The zookeeper's role in managing these activities enhances the factual interpretation of the phrase.	literal
grass roots	The most basic level of an activity or organization.	The roots of grass.	The context statement refers to becoming an activist in the community at the 'grass roots' level, thus it clearly suggests working from the basic or ground level of the activity, aligning with the idiomatic usage.	In this sentence, the phrase 'grass roots' refers to the foundational level of community engagement, aligning with its idiomatic use to denote a basic, ground level of an organization, activity, or effort, particularly one that is complex or large-scale.	idiomatic
marching orders	Instructions to move on or depart, especially dismissal from employment.	Orders instructing troops to march, or move or travel in a military context.	In the sentence, 'Defender Brown was given his marching orders after only three minutes on Saturday for a professional foul on Shane Long after Phil Bardsley's dreadful pass played the striker in,' Brown hasn't been instructed to physically move. Instead, he has been dismissed from playing in the game, thus the phrase is applied in its idiomatic sense rather than a literal one.	The phrase 'marching orders' in the sentence refers to dismissal, primarily as a result of professional foul during a sports event, rather than a literal command for troops to march. The situation isn't military, nor does it involve physical moving or marching, thus reinforcing the idiomatic usage.	idiomatic
panda car	A small or medium-sized British police car, often painted in black and white like a panda.	A car that is associated with a panda or looks like a panda in some way.	In the context, 'I was on duty in a panda car when we had a call come in for a road traffic collision just around the corner,' the use of 'panda car' aligns far more with the idiomatic usage, suggesting the type of car used in British policing.	Whilst on duty, the speaker was in a 'panda car', a term used in the UK to describe a certain type of police vehicle. There's no reason to believe this vehicle has a connection to literal pandas, thus this is the idiomatic usage in the context of law enforcement.	idiomatic
bread and butter	A job or activity that provides one with a regular income; also, a basic staple or essential feature.	A simple dish of bread spread with butter, often served as an accompaniment to a meal.	'They wanted curry chicken and rice and with bread and butter.' This sentence is apparently referring to literally wanting bread and butter as part of a meal, not invoking the idiomatic usage referring to a staple resource or dependable income.	In this context, 'bread and butter' literally means a simple dish of bread with butter spread on it. The sentence surrounds food items wanted, including 'curry chicken and rice,' and there is no mention of income, business, or basic necessities or skills to suggest the idiomatic interpretation.	literal
chocolate teapot	Something that is attractive but useless or ineffective in practice.	A teapot made of chocolate.	In the context of 'Nonetheless, the striking partner of the two is often undermined by chocolate teapot Arsenal's defence.' the phrase 'chocolate teapot' does not fit as a literal item. It is being used metaphorically to denote uselessness.	Despite the obvious attractiveness, the 'chocolate teapot' phrase in this quote conveys a sense of uselessness, reflecting on Arsenal's defence being ineffective — despite being, perhaps, good on paper or subverting expectation. There's no literal teapot or chocolate involved, thus it is an idiomatic use.	idiomatic
pig's ear	A messy or disordered situation or thing.	The ear of a pig.	The phrase 'pig's ear' in the sentence 'Some skilled chefs can make a pig's ear into a delicious dish.' refers to a literal pig's ear being used as a food item. It does not imply a messy or disorganized situation.	A 'pig's ear' in this sentence is a literal mention of the part of the pig which skilled chefs can turn into a delicious dish. It does not refer to the idiomatic sense of facing or creating a messy or difficult situation.	literal
best man	A male friend or relative chosen by a groom to assist him at his wedding.	The man who is best in terms of ability, efficiency, etc.	In this context, 'The best man means the quickest driver and the most intelligent driver,' the phrase 'best man' does not refer to a wedding role but to a driver who is superior in terms of intelligence and speed, aligning with the literal interpretation.	In this sentence, 'best man' is meant literally as the most skilled or efficient driver. It describes one who is quickest and most intelligent, not referring metaphorically or idiomatically to a groom's assistant in a wedding, as customary in many cultures.	literal
big cheese	An important person, a leader; someone who commands significant power or influence in a particular sphere.	A large size cheese.	The usage of 'big cheese' in the sentence 'I've just spent a week trawling round Silicon Valley, talking to a mix of developers, entrepreneurs, venture capitalists, industry observers and big cheeses from well established companies.' is in the context of important people at well established companies, suggesting an idiomatic usage.	'Big cheese' in this context implies that the mentioned persons from well established companies are more influential or powerful. It doesn't signify an actual large piece of cheese.	idiomatic
eager beaver	A person who is enthusiastic and hardworking.	A beaver that is eager.	In the context, 'Keen to get the river dam established in its habitat, the eager beaver set to work gathering sticks and felling trees with its teeth.' The term 'eager beaver' seems to refer to a literal beaver that is determined and hardworking.	In this sentence, 'eager beaver' refers to a literal beaver that is eager and busy building its dam. This is a literal interpretation as it aligns the description of the beaver taking on tasks crucial for its survival and habitat creation.	literal
hair of the dog	Drinking alcohol as a remedy for a hangover, based on the notion that consuming more of what caused the malaise might help alleviate it.	A tuft or strand of a dog's hair.	The sentence, 'In case a Bloody Mary over brunch isn't hair of the dog enough, why not add a lil' Scotch bonnet vodka to awaken your senses?' talks about adding more alcohol (Scotch bonnet vodka) to another alcoholic drink (Bloody Mary), in the context of a hangover remedy.	In this context, 'hair of the dog' refers to the idiomatic meaning of consuming more alcohol to relieve a hangover. The sentence does not discuss actual dog hair, supporting the idiomatic interpretation.	idiomatic
thin ice	In a precarious or risky situation.	A surface layer of ice that is insufficiently thick or solid.	The sentence, 'During the winter, children often play on thin ice, unaware of the danger beneath their feet.' discusses children playing on a frozen surface during winter, suggesting literal ice.	Here, 'thin ice' is used in its literal sense, referring to an actual ice layer that is thin and hence potentially dangerous. The context does not indicate a risky situation metaphorically but rather a physical risk due to the thinness of the ice.	literal
snake in the grass	A deceitful or treacherous person.	An actual snake hiding in the grass.	The sentence, 'After rescuing myself and my gear with my Sherpa's expert assistance, I photographed the sneaky snake in the grass and added the shot to my camouflage collection.' mentions photographing a snake in the grass, suggesting a literal meaning.	In this sentence, a 'snake in the grass' refers to a literal snake that is in the grass. The usage is literal, as there is no insinuation of a person being deceitful or treacherous. The context involves photographing a snake, not interpreting human behaviors.	literal
flea market	A type of bazaar that rents space to people who want to sell or barter merchandise such as used goods, cheap items, and antiques.	A market for selling fleas.	The sentence, 'Some people view the site as an online flea market where supply and demand dictate prices.' talks about a site where goods are sold or bartered, effectively characterizing it as a market.	In this context, 'flea market' refers to a place (or in this case, an online space) where a variety of goods are sold or bartered, which is the idiomatic meaning of the phrase. The usage does not align with the literal interpretation of a market for fleas.	idiomatic
big fish	An important person in a company or an organization.	A fish that is significantly large.	The sentence, 'Earlier this year, the big fish at Mattel Inc. was asked by an American magazine to name his favourite gadget.' refers to an important person at Mattel Inc., indicating an idiomatic usage of 'big fish'.	In this sentence, 'big fish' does not refer to a large aquatic animal but to a person who has an important position in a company, which aligns with the idiomatic meaning of the phrase. The context provides no reason to interpret it as a literal fish.	idiomatic
fancy dress	A costume party or a costume worn to such a party.	A dress that is fancy or elaborate.	The sentence, 'As a child I remember my sister and I used to always get a new fancy dress and often a hat to go along with it to wear to Sunday school.' talks about a child getting a new fancy dress for Sunday school, not for a costume party.	Here, 'fancy dress' is most likely referring to an actual dress, implying that it is fancy or elaborate in design or style, which is the literal interpretation of the term. There is no mention or implication of a costume or costume party in the context.	literal
snail mail	Traditional postal mail services, characterized as being slow in contrast to email and other digital communication methods.	Mail delivered by a snail.	The sentence, 'The children giggled as they placed a tiny envelope on the back of a snail, imagining it as their new snail mail delivery service.' describes a playful scenario where children place an envelope on a snail, indicating a literal usage.	In this context, 'snail mail' literally refers to children's imaginative game of a mail delivery system involving a real snail carrying a tiny envelope. There is no mention or implication of traditional postal mail services, separating this context from the idiomatic meaning.	literal
heart of stone	An unfeeling, emotionless person.	A heart made of stone.	The sentence, 'Charles would have to have a heart of stone to turn her over to Lilandra, or do anything else along those lines.' is implying a lack of emotion or empathy on Charles's part, indicating idiomatic usage.	In this sentence, having a 'heart of stone' is used figuratively to describe Charles who would lack feelings or compassion if he were to act cruelly, which aligns with the idiomatic usage of the phrase. The context doesn't suggest a literal stone heart.	idiomatic
party animal	Someone who enjoys parties and partying, especially one who often parties hard and drinks heavily.	An animal at a party.	The sentence, 'Milly was the party animal who has now settled down into the seemingly perfect life with a rockstar husband and two loving children.' is describing Milly's past lifestyle, suggesting idiomatic usage.	In this context, the term 'party animal' is used idiomatically to describe Milly's past persona as someone who used to enjoy parties and partying before settling down. There is no suggestion that Milly is a literal animal attending parties.	idiomatic
cold feet	Suddenly losing courage or confidence in doing something, often in the context of impending commitments or responsibilities such as marriage.	Feet that are literally cold to the touch.	The sentence, 'The broad-shouldered man tightened the red scarf around his neck and blew on his hands, stamping his cold feet on the hard wet cobblestones.' describes a man whose feet are cold due to the weather, indicating literal usage.	In this context, 'cold feet' refers to the literal temperature of the man's feet. This reading is supported by the surrounding context: the man is experiencing cold weather, hence his feet are cold. There is no indication of a loss of courage or confidence.	literal
couch potato	A person who spends little or no time exercising and a great deal of time watching television.	A potato on a couch.	The sentence, 'After a long day, Sarah snuggled up on the sofa with her couch potato, a plush tuber-shaped cushion that had been a gift from her aunt.' doesn't characterize a person as a sedentary TV watcher, but refers to a physical item resembling a potato, indicating literal usage.	In this context, 'couch potato' refers to an actual object: a 'plush tuber-shaped cushion' that Sarah uses to snuggle up on the sofa. This is consistent with the literal elements of the term, and there is no implication of the idiomatic usage related to a sedentary lifestyle.	literal
peas in a pod	Two or more people or things that are very similar or close.	Actual peas contained in a pod.	The sentence, 'Spearfishermen are all shapes and sizes, they are not peas in a pod and nor are their guns if they optimize their design for their own purposes.' emphasizes the differences and variety in the size and shape of spearfishermen and their tools, indicating idiomatic usage.	The term 'peas in a pod' is used idiomatically in this sentence to describe a lack of similarity or likeness among spearfishermen and their equipment. The context is not discussing actual peas or pods, further cementing the idiomatic interpretation.	idiomatic
sour grapes	An attitude in which someone adopts a negative view of something because they cannot have it themselves.	Grapes that are sour in taste.	The sentence, 'The aromatic notes run the gamut from hints of lactic, acetic, definitely citric, with notes of tart apples, sour grapes and even some touches of exotic fruit.' discusses the aroma of various fruits and substances, pointing towards a literal usage.	In this context, 'sour grapes' literally refers to grapes that have a sour taste. The phrase is used to describe the flavors in wine, not a negative or envious attitude, which is the idiomatic meaning of 'sour grapes'.	literal
hot air	Empty, exaggerated, or pretentious talk or publicity.	Air that is hot compared to the surrounding environment.	The sentence, 'French men, proud of their prowess as lovers, may actually be all hot air, according to a study by the National Demographic Studies Institute.' is accusing French men of potentially overstating their prowess, indicating idiomatic usage.	In this context, 'hot air' is used idiomatically to suggest that the boasting of French men about their prowess may be empty or exaggerated talk, reflecting the idiomatic interpretation of the phrase. The context does not discuss the temperature of air.	idiomatic
green light	Permission or approval to proceed with a project, plan, etc.	A light with a green-emitting source, used in traffic control to signal that vehicles can move forward.	The sentence, 'He was so frightened he wouldn't let the driver go across a green light in case he hit Rebecca and the twins coming the other way.' refers to a green traffic signal, indicating literal usage.	In this context, 'green light' is used in its literal sense, referring to the traffic signal that usually indicates that it is safe to proceed. This is supported by the surrounding context of a car and a driver. There is no suggestion of permission or approval in a metaphorical sense, which would reflect the idiomatic meaning.	literal
watering hole	A meeting place where people gather to drink and converse, often a bar or pub.	A natural source of water in the wild where animals go to drink.	The sentence, 'It fits in perfectly with the surroundings and overlooks a watering hole visited every day by elephant, buffalo, giraffe and antelope.' refers to a literal place where wild animals drink, indicating literal usage.	In this context, 'watering hole' is used in its literal sense, to refer to a place where wild animals such as elephants, buffalo, giraffes, and antelope go to drink. There is no insinuation of a pub or meeting place, which is the idiomatic use of the phrase.	literal
flying saucer	A term often used to describe a UFO or an alien spacecraft, typically depicted as disk-shaped.	A saucer that is flying.	The sentence, 'There is a display here featuring some of the unknown artifacts found at the site where a flying saucer allegedly crashed in 1947.' discusses an unidentified flying object that crashed, suggesting the idiomatic usage.	'Flying saucer' in this context refers to the idiomatic meaning of an unidentified flying object or an alien spacecraft. The sentence discusses finding artifacts from a site of an alleged crash of such an object, not a literal saucer that is flying.	idiomatic
act of god	An event that is beyond human control, especially one that is caused by natural forces like storms, earthquakes, floods etc.	An act performed by a deity.	The sentence, 'Whether an event is intentional, accidental or an act of God, knowing how to properly respond when a crisis occurs in the workplace is critical.' discusses various types of unforeseen events, including those caused by natural forces, suggesting idiomatic usage.	In this sentence, an 'act of God' is used to denote any event that is beyond human control, which aligns with the idiomatic meaning. The sentence suggests the importance of responding to a crisis, be it intentional, accidental, or caused by natural forces. The context does not involve any divine entity performing an act.	idiomatic
field work	Work done outside the office or laboratory, usually a hands-on and direct involvement in gathering data, conducting research, or delivering services at physical locations.	Work done in a field, typically agriculture-based.	The sentence, 'One of the highlights of the Mississippi Freedom Project happened during our first year of oral history field work in the town of Indianola.' discusses the work done on location in the town of Indianola, suggesting idiomatic usage.	In this case, 'field work' refers to the idiomatic meaning of hands-on work or research carried out in real-world scenarios or locations, which here refers to the data gathering and research done in the town of Indianola during the course of the Mississippi Freedom Project. The context does not suggest any agricultural work done in an actual field.	idiomatic
big wig	A person of high position or importance.	A large hairpiece or wig.	The sentence, 'Montenegro used a big wig and glasses to deliver chatty, comic commentary and criticisms, some concerning the local government.' refers to an actual large hairpiece worn by Montenegro, suggesting literal usage.	In this sentence, 'big wig' refers literally to a large hairpiece worn by Montenegro. The phrase in this context is used to describe a physical object—not someone of high position or importance, which is the idiomatic meaning.	literal
