target_phrase,explanation,literal_definition,image_ideas,generalized_caption_1,generalized_caption_2,thinking,result
acid test,"Literally, it could mean a chemical experiment involving the use of an acid, often conducted to determine the presence of a certain substance or to measure acidity.",An experiment or analysis using acid.,"['A laboratory scientist pouring a solution into a beaker of acid, watching for a reaction.', 'A high school student cautiously dropping acid onto a sample during a chemistry practical.', 'A field geologist applying acid to a rock sample, expecting it to fizz if limestone is present.', 'A close shot of an acid-alkali titration experiment, the acid being dropped slowly from a burette.', 'A hand using a dropper to place a small quantity of acid onto a litmus strip, checking for color change.']",Conducting a chemical reaction involving acid.,Performing an experiment using an acidic medium.,"While both captions follow the literal meaning, 'Performing an experiment using an acidic medium' has a more scientific tone which aligns better with the concept of an 'acid test'.",Performing an experiment using an acidic medium.
inner circle,"Literally a circle drawn or formed within a larger one, often used to differentiate between central and peripheral elements.",A smaller circle contained within the confines of a larger circle.,"['A dart board with different concentric circles, the bullseye being the inner circle.', 'A diagram on a whiteboard showing a larger circle with a smaller circle inside it.', 'Aerial view of a stadium where a smaller circular track is enclosed within the larger one.', 'A page of a coloring book showing a sun with circles as rays, and the inner-most circle as the core.', ""In a kids' drawing, the bubbles of a thinking cloud are shown as a big circle with smaller circles inside.""]","A smaller, central circle within a larger one.",A confined circular space within a bigger circular boundary.,The first caption speaks to the geographical and spatial relationship between the circles. The second one provides more context about the space. Choosing this one as it offers more nuance and depth.,A confined circular space within a bigger circular boundary.
bad apple,"Literally, an apple of poor quality or in a rotten condition, often distinguished from a batch of good apples.","An apple that is rotten, spoiled, or in otherwise poor condition.","['A fruit basket full of apples, but one apple is rotten with visible spots.', 'A supermarket shelf displaying fresh apples, but one apple is visibly damaged.', ""A child refusing to eat an apple from her lunch because it's bruised."", 'In a kitchen, a rotten apple in a fruit bowl causing other fruits to spoil.', 'An apple tree with all apples in good condition except for one decayed apple.']",An apple in poor condition among fresh ones.,A rotten apple standing out in a mix.,Both captions perfectly capture the literal meaning. Opting for the second one because it nicely encapsulates the contrast between a single bad apple and the rest.,A rotten apple standing out in a mix.
honey trap,"Literally, a trap designed to attract bees or other insects using honey or sweet substances as bait.",A trap set with honey to ensnare insects.,"['A beekeeper in the field has set out a trap baited with honey to catch a swarm of bees.', 'A homemade honey jar trap hanging from a tree branch to catch wasps in a backyard.', 'In a picnic scene, a honey trap is set on the side to keep bees away from the food.', 'An apiarist attaching a honey trap to a hive to safely relocate bees.', 'A honey trap being used in a garden to attract and trap flies affecting the plants.']",Insect trap baited with honey.,Sweet bait in a trap to attract insects.,Both captions talk about the honey trap in the literal sense. I'll pick the first one because it's more concise and directly linked to the given phrase.,Insect trap baited with honey.
pins and needles,"Literally, it refers to sharp thin tools used in sewing and other crafts.","Sharp, slender pieces of metal used primarily in sewing, embroidery, or crafts.","[""A seamstress's worktable shows a collection of sewing pins and needles in a pincushion."", ""Close-up of a child's craft project with colored pins and needles scattered around."", 'A knitting session where numerous sewing needles and pins are placed on a patterned cloth.', 'An up-close shot of a vintage sewing kit with pins and needles compartmentalized.', 'A sewing needle piercing through a thread on the side of a cushion full of multicolored pins.']",Collection of sewing tools: pins and needles.,Sewing essentials: sharp and slender pins and needles.,Both options capture the image of pins and needles accurately. I'll select the first caption which is a bit simpler and more straightforward.,Collection of sewing tools: pins and needles.
bun in the oven,"Literally, a bun that is currently being baked inside an oven.",A bread roll or pastry that is currently baking in an oven.,"['A close-up of an oven window showing a tray with a single, rising dough bun inside.', 'A baker wearing oven mitts carefully placing a batch of unbaked buns into a large commercial oven.', 'A home baker proudly peering into her kitchen oven, where you can see a homemade bun browning nicely.', ""A neighborhood bakery, with a clear shot of a baker's tray sliding out of the oven with a row of freshly baked buns."", 'In a home cooking scenario, a child waits eagerly by the oven as their home-shaped bun bakes.']",A dough bun baking inside the oven.,Scene of a bun warming up in an oven.,"Both captions relay the literal meaning well. The second caption is more dynamic and visual, so I'll select it as the better fit.",Scene of a bun warming up in an oven.
loan shark,"Literally, a shark underwater that is showcasing the concept of a loan, perhaps through direct visual indication or by representing symbolic items.",A physical depiction of a shark in relation to loan-like imagery.,"['An underwater scene showing a shark swimming around a collection of dollar bill-shaped fish.', ""A cartoon shark holding a contract labeled 'loan' in its toothy grin."", ""A shark-themed bank in a bustling city with a sign saying 'instant loans'."", 'A painting of a shark on a wall of a pawn shop where loans are also offered.', ""A graffiti of a shark spitting out money with the word 'loan' on a wall.""]",A shark involved in a symbolic loan scenario.,A shark visually associated with the concept of loans.,"Both descriptions relate to the idea of a shark while incorporating the concept of a loan. The second one is more general, easier to fit any of the scenarios.",A shark visually associated with the concept of loans.
open book,"Literally, a book that is opened up to read or to view the pages inside.","A book that is open, displaying some amount of its inner content.","['A novel open on a park bench under a tree with leaves fluttering around.', 'An open cookbook in a kitchen, with a chef using it for recipe guidance.', 'A child sitting in bed, reading an open storybook with colorful pictures.', 'A person holding an open book in a library, reading and making notes.', 'An open antique book on a wooden desk, candlelight highlighting the ancient text.']",A book opened revealing its pages.,An open book being utilized.,"Both snippets express the essential concept of an open book. The first is more literal, while the second indicates some interaction with the book, which fits all scene scenarios.",An open book being utilized.
baby blues,"Literally, a scene that represents babies and the color blue.",Imagery involving babies in context with the color blue.,"['Twins in matching baby-blue onesies cooing in a nursery.', 'A baby with striking blue eyes staring curiously at the camera.', 'A baby shower decoration, predominately blue in color, with balloons and candies prepared for a newborn boy.', 'A baby boy in a blue stroller enjoying a sunny day in the park.', 'A newborn baby swaddled in a soft blue blanket sleeping peacefully.']",Babies in a distinctly blue setting.,Babies associated with the color blue.,"Both captions demonstrate the link between babies and the color blue. The second one is broader, and more flexible, fitting into any of the images.",Babies associated with the color blue.
silver bullet,"Literally, a bullet that is silver in color, often linked to folklore or highly effective solutions.",An ammunition projectile made from silver or colored silver.,"['A single silver bullet displayed in a glass case in a museum.', 'A silver bullet on a necklace, catching the light and shining vibrantly.', 'An antique revolver with a silver bullet loaded, harking back to old western stories.', ""A silver bullet on a table that's used as a paperweight, glinting under the office light."", 'A close-up of a silver bullet with intricate engravings, a piece of ornamental artwork.']",A bullet exhibiting a silver sheen.,A distinctly silver bullet in view.,Both captions emphasize the silver color of the bullet. The second caption is simpler and can be applied to any of the image ideas.,A distinctly silver bullet in view.
brain surgery,"Literally, a medical procedure performed on the brain often by professionals in an operating room.",A surgical operation or treatment involving the brain.,"['A skilled neurosurgeon performing a complex brain surgery in a high-tech operating room.', 'A medical student observing a mock brain surgery in a classroom setup.', 'A medical diagram showing a detailed procedure of brain surgery.', 'Surgeons and nurses in scrubs standing by the operating table prepping for a brain surgery procedure.', 'A surgeon performing brain surgery using advanced robotics assistance and screens showing brain scans.']",Procedure of medical intervention on the brain.,Scene involving the process of brain surgery.,Both captions acknowledge the core concept of surgical intervention on the brain. The second might better reflect the action and setting that the visual would likely involve.,Scene involving the process of brain surgery.
red flag,"In its literal sense, a red flag is just that – a flag of red color.",A flag colored red.,"['A red flag flying atop a castle tower.', 'A red flag being waved in a sports event signaling a foul play.', 'A matador in a bullfight waving a red flag.', 'A red flag on a beach signaling swimming is dangerous.', 'A red flag marking a finishing line in a race.']",A red-colored flag in different scenarios.,A vibrant red flag being displayed.,Both options describe the literal meaning of the phrase. The latter adds a bit more sensory detail while still remaining broadly applicable to the various situations we generated.,A vibrant red flag being displayed.
white elephant,"Literally, a white elephant is an elephant of an uncommon, pale color.",An elephant that has white or near-white skin color.,"['A white elephant standing majestically in a dense jungle.', 'A close-up shot of a white elephant with large tusks and sparkly eyes.', 'A white elephant being bathed and cared for in a wildlife sanctuary.', 'A white elephant with a swarm of birds flying around it.', 'A white elephant standing near a waterhole with other elephants.']",A rare white elephant in its natural habitat.,A majestic white elephant in various scenarios.,"Both captions describe the literal meaning effectively. The second one could be a bit more well-rounded, as it could also apply to situations outside a natural habitat.",A majestic white elephant in various scenarios.
two-way street,"Literally, a two-way street is a road that allows vehicles to travel in both directions.",A roadway where traffic is allowed to flow in two opposite directions.,"['A broad city street divided by a middle line allowing traffic in both directions.', 'A scenic two-way street through a forest with cars passing each other.', 'A small town two-way street with quaint houses on both sides.', 'A busy two-way street in a market area with vendors on both pavements.', 'An empty two-way street at dawn with street lamps casting long shadows.']",A road permitting vehicle travel in both directions.,A bustling two-way street in different scenarios.,"Both captions apply well to the various scenarios. The second caption adds a little more detail, hinting at the activity around the two-way street, which makes it slightly more engaging.",A bustling two-way street in different scenarios.
rat run,"Literally, a rat run refers to a course or path taken by rats, often in a maze in a laboratory setting.","A path that rats take, often in the context of maze experiments.","['A white rat in a laboratory maze looking for cheese.', 'Several rats scrambling through a complex maze in a race against time.', 'A rat making its way through a transparent plastic maze, researchers observing from the side.', 'A rat standing at the entrance of a dimly lit maze, hesitant to move forward.', 'An overhead view of a rat accurately navigating through a complicated maze.']",A rat navigating its way through a complex maze.,A rodent on a labyrinthine run.,Both captions describe the scene but the first one is more directly pointing to the literal meaning of 'rat run'.,A rat navigating its way through a complex maze.
graveyard shift,"Literally, a graveyard shift is a work shift that occurs late at night or in the early hours of the morning, resembling the stillness and quiet of a real graveyard.",A work shift that typically runs from midnight to early morning.,"['A janitor mopping the floor of an office building late at night.', 'A security guard patrolling a quiet industrial complex in the early hours of the morning.', 'A nurse checking on a patient in a dimly lit clinic room late at night.', 'A factory worker operating machines during the graveyard shift, the only noise breaking the quiet night.', 'A customer service representative working in a call center, surrounded by dark, empty workstations.']",Working late into the night or in the early hours of the morning.,Individuals toiling during the quiet late-night shift.,"Both captions capture the essence of a 'graveyard shift'. I am inclined towards the second option because it adds a human element, emphasizing the workers rather than the shift itself.",Individuals toiling during the quiet late-night shift.
dirty money,"Literally, money or coins that are unclean, grimy, or soiled.",Currency notes or coins that are physically dirty.,"['A pile of grimy and soiled banknotes scattered on a table.', ""A close-up of someone's hand holding a dirty, well-worn coin."", 'A dusty old jar filled with discolored and unclean coins.', 'A wallet open to reveal stained and dirty banknotes.', 'Stained and discolored money lying in the gutter on a filthy street.']",Filthy and grimy money.,Dirty cash on display.,Both generalized captions indicate the physical dirtiness of the money. The second caption is slightly more engaging because it implies the visible presence of the dirty money.,Dirty cash on display.
high life,"Literally, living or existing at a great height or altitude, often referencing locations at high elevations or structures built tall.",Existence or dwelling at a high altitude or above ground level.,"['A small cabin perched on top of a high mountain peak.', 'People enjoying dinner at a high-rise restaurant with panoramic city views.', 'An eagle soaring high above mountains, exemplifying life at great heights.', 'A skydiver free falling from a plane, living on the edge in high altitudes.', 'A penthouse apartment at the top of a skyscraper overlooking a brightly lit city.']",Living or existing at great heights.,Experiencing life from a high altitude.,Both descriptions convey the literal meaning of high life. The second one encapsulates living at high altitudes in a simple and effective way.,Experiencing life from a high altitude.
pain in the neck,"Literally, the physical discomfort or soreness in the neck area.",Actual physical ache in the neck region.,"['A man rubbing his neck in discomfort while working at his desk.', 'A woman at a physiotherapy session receiving treatment for a painful neck.', 'An athlete wincing in pain while holding his strained neck after a strenuous workout.', 'A person wearing a neck brace to support and relieve a painful neck.', 'A woman using a massaging device on her tensed and painful neck.']",Experiencing physical discomfort in the neck.,A person suffering from neck pain.,"Both captions describe the literal concept of pain in the neck. The second caption is simpler and more universal, as it could apply to all the images well.",A person suffering from neck pain.
guinea pig,"Literally, a small pet rodent native to the Andes region, commonly kept as a household pet. Not related to pigs and not from Guinea.","A small domesticated rodent often kept as a pet, characterized by short ears, and a tail-less stout body.","['A close-up of a cute guinea pig, nibbling on a piece of carrot in a child’s hand.', 'A guinea pig resting in its cozy cage filled with bedding and toys.', 'A little girl holding her pet guinea pig gently.', 'A guinea pig running through a small tunnel in a pet activity playground.', 'Several guinea pigs interacting with each other in a pet store.']",A guinea pig in various everyday scenarios.,"A domesticated rodent, the guinea pig, in a natural setting.","Both descriptions clearly focus on the real animal, the guinea pig. The first is broader, while the second provides a bit more detail about the nature of the animal. Given the image ideas, the second caption seems to provide a more specific common thread.","A domesticated rodent, the guinea pig, in a natural setting."
cat's eyes,"Literally, the pair of sight organs located in the head of felines, known for their unique appearance and ability to see in low light.","The visual organs found in cats, usually marked by a distinctive shape and reflective properties.","['A close-up of a house cat, its green eyes wide and luminescent in dark surroundings.', 'A lioness in the Savanna, her sharp eyes focused intently on a distant prey.', ""A black cat's yellow eyes glowing mysteriously in a dimly lit room."", 'The intense and beautiful blue eyes of a Siamese cat, staring directly at the viewer.', 'A wild lynx hiding in bushes, its eyes keenly observing its surroundings in the dusk light.']",A cat's eyes focused intently in various settings.,The mesmerizing eyes of a feline species in focus.,"While both descriptions accurately define the literal meanings, the second one adds an element of charm that can attract viewers’ attention, and consequently seems to be a finer generalized caption.",The mesmerizing eyes of a feline species in focus.
cold turkey,"Literally a turkey that is low in temperature, normally consumed in sandwiches or salads after it has been refrigerated.","A turkey that is cold, often leftovers from a meal.","['A cold turkey sandwich on a plate surrounded by fresh vegetables.', 'A person taking a leftover turkey out of the refrigerator.', 'A deli counter displaying various cold turkey cuts.', 'Sliced cold turkey placed on a wooden chopping board.', 'A chef preparing a cold turkey salad for a summer picnic.']",A refreshing serving of cold turkey.,Meal preparations featuring cold turkey.,"Both captions emphasize the literal meaning of cold turkey. However, the second caption broadens the scenario to serving or preparation, which encompasses all the image ideas.",Meal preparations featuring cold turkey.
low-hanging fruit,Literally refers to fruit on a tree that hangs low enough to be effortlessly picked by hand.,Fruit that hangs low on a tree easy to reach by standing or without much effort.,"['A child effortlessly plucking an apple from a low branch.', 'A person standing under a citrus tree, reaching to a low hanging orange.', 'A low-hanging vineyard grape that can easily be handpicked.', 'A branch with several peaches hanging low, ripe and ready for picking.', 'An elderly man reaching for a low hanging fig without needing a ladder.']",Easily reachable fruit on a tree.,"Plucking ripe, low-hanging fruit from a tree.","Both captions carry the literal meaning. However, the second caption incorporates the act of plucking, fitting all the scenes better.","Plucking ripe, low-hanging fruit from a tree."
busy bee,"Literally, a bee that is engrossed in its work, mostly collecting nectar or pollen, engaging in the bustling activity of a hive, or in flight.","A bee which is active, usually in the task of gathering nectar, propagating plants or contributing to the hive.","['A bee hovering over a flowering plant, collecting nectar.', 'A bee mid-flight between blossoms in a lush garden.', 'Multiple bees bustling around the entrance of a hive.', 'A close-up shot of a bee with its pollen baskets filled to the brim.', 'A bee settled on a sunflower, busy exploring the flower head.']",A bee busily engaged in its daily tasks.,An industrious bee in full swing of its work.,"Both captions depict the literal meaning, however, the second caption more vividly conveys the industrious nature of a bee.",An industrious bee in full swing of its work.
wet blanket,"Literally, a blanket that is damp or soaked with water.","A piece of soft cloth material, used for warmth or comfort, that is wet.","['A blanket left out in the rain on a garden bench, soaked with water droplets.', 'A colorful beach blanket lying damp on the sand after being used to dry off post-swimming.', 'A wet blanket hanging out to dry on a clothesline.', 'A person carrying a wet blanket over their shoulder after a water fight.', 'A blanket lying at the edge of a swimming pool, splashed and wet.']",A blanket drenched with water.,A damp blanket after exposure to water.,Both captions accurately describe a literal situation. The second caption more effectively suggests the causation - the exposure to water.,A damp blanket after exposure to water.
chicken feed,"Literally refers to food given to chickens, often consisting of grains and seeds.","A mix of foodstuffs given to poultry, mostly made up of grains like corn, wheat, and oats.","['A farmer pouring chicken feed into a feeder in a poultry yard.', 'An opened bag of chicken feed in a barn with chickens in the background.', 'A close-up of a handful of chicken feed.', 'A chicken pecking at scattered feed on the ground.', 'An assortment of grains and seeds, labeled chicken feed, ready for purchase in a pet store.']",Food specially prepared for feeding chickens.,Chicken feed ready for poultry nutrition.,"Both captions emphasize the literal meaning of chicken feed. But the second caption focuses more on the aspect of nutrition, which ties in better to every scene.",Chicken feed ready for poultry nutrition.
monkey business,"Literally, the activities and behaviors of monkeys, typically involving social interactions or physical actions.","The conduct, habits, or practices of monkeys.","['A group of monkeys foraging for food in a lush green forest, with one reaching for a hanging fruit.', 'A playful scene at a zoo where two monkeys are seen swinging from tree branches.', 'A mother monkey grooming her child on a tree branch, both surrounded by lush foliage.', 'Monkeys interacting at a wildlife sanctuary; some are playing, others resting.', 'Several monkeys climbing up and down a tall tree, engaging in their typical day-to-day activities.']",Monkeys engaging in natural activities.,Monkeys in their habitat practicing their usual behavior.,Both captions describe the literal scenario of monkeys being active and behaving naturally. The second caption does a better job emphasizing the normality of their actions within their environment.,Monkeys in their habitat practicing their usual behavior.
grass roots,"Literally, the parts of the grass plant that grow under the soil, which absorb water and nutrients and anchor the plant.",The underlying part of the grass plant that is anchored to the soil.,"['A cross-section view of grass showing the roots extending beneath the soil surface.', 'A gardener holding up a clump of grass showing the intertwined roots.', 'A close-up shot of new grass shoots emerging from their roots in the springtime soil.', 'A field of grass being aerated, revealing the roots beneath the turf.', 'Showing lawn maintenance, where a piece of turf is being rolled back to show the grass roots beneath.']",The unseen support system of grass: its roots.,Grass roots securely anchored into the soil.,"Both captions clearly describe the physical presence of roots supporting the grass. The first one implies their function as a support system, whereas the second emphasizes their anchoring function. Both are accurate, but the second one is more vivid.",Grass roots securely anchored into the soil.
marching orders,"Literally, the command given to soldiers to begin marching, or the instructions provided for a coordinated march.",Instructions given for a regimented walk or movement.,"['A military officer blowing a whistle, signaling troops to start marching during a parade rehearsal.', 'A conductor leading a marching band with a baton, setting the rhythm for their coordinated steps.', 'A scout master giving directions to a group of scouts for a synchronized march at a jamboree.', 'A drill sergeant yelling out the signal to start a regimented march during army training.', 'Cadets receiving orders from their officer to start marching as part of their graduation ceremony.']",Directives give way for a regimented march.,Instructions given to coordinate synchronized marching.,"Both captions illustrate the orders provided to start a regimented, coordinated march. The second one more directly hits on the image of a group being instructed to march in unison.",Instructions given to coordinate synchronized marching.
panda car,"Literally, a car that has the black and white color pattern or design of a panda bear.",A car with a design or coloration that resembles a panda bear.,"['A small hatchback having a black and white color scheme is parked on a busy street.', 'A cute panda-themed car in a parade, with a black and white color scheme and panda ears on the roof.', 'A toy model of a car with a black hood and white body on display at a car show.', 'A panda-style painted car in a car race, drawing attention with its black and white pattern.', 'A zoo’s promotional vehicle with a panda color scheme making its rounds in the parking lot.']",A vehicle replicating the unique black and white coloration of a panda bear.,A car distinguished by the panda's typical black and white pattern.,"Both clues point to a panda-themed black and white vehicle. The second caption positions it as a car that's distinguished by having a black and white pattern, which makes it more adaptable to each scenario.",A car distinguished by the panda's typical black and white pattern.
bread and butter,"Literally, a slice of bread spread with butter, a common element of basic meals and simple snacks.",A slice of bread covered with a layer of butter.,"['A close-up of a slice of whole grain bread spread with creamy butter on a breakfast table.', 'A piece of bread and a pat of butter on a plate next to a soup bowl in a diner.', 'An artisanal slice of sourdough bread spread with organic butter displayed on a chopping board.', 'A chunky slice of a homemade loaf of bread liberally spread with butter at a family dinner.', 'A warm and toasty piece of bread in the morning light, spread with melting butter.']",A slice of bread enhanced with a layer of smooth butter.,"Bread and butter, a simple pleasure of the dining table.","Both captions illustrate the homely picture of a slice of bread with butter. The first caption does an excellent job of focusing on the details. However, the second caption encapsulates a broader, emotive picture, making it a more heartfelt representation.","Bread and butter, a simple pleasure of the dining table."
chocolate teapot,"Literally a teapot crafted out of chocolate, often used as an edible novelty item or for decorative purposes.",A teapot made entirely or partially of chocolate.,"['A finely detailed edible chocolate teapot on display at a dessert shop, surrounded by other chocolate creations.', 'A fully assembled chocolate teapot centerpiece on a table setting, with chocolate cups for serving.', 'An artisan chocolate-maker carefully sculpting a chocolate teapot shape in their kitchen.', 'A large chocolate teapot being unveiled at a chocolate festival, the centerpiece of the event.', 'A decorative chocolate teapot, filled with chocolate candies, sitting on a kitchen shelf.']",A teapot sculpted from chocolate.,"An edible, chocolate-made teapot on display.",Both embrace the literal definition of the phrase. The second one focuses on both the aesthetic and edible aspects of the chocolate teapot.,"An edible, chocolate-made teapot on display."
pig's ear,"Literally the ear of a pig, often used in various cuisines or as pet chew toys.",The actual ear of a pig.,"[""Close-up shot of a pig's ear on a farm, showing its unique texture and form."", ""A pet owner offering a dried pig's ear as a treat to a dog."", ""A dish on a restaurant's menu featuring crispy fried pig's ears."", ""A vendor at a food market holding up a pig's ear, a delicacy in their cuisine."", ""A butcher's shop showcasing fresh pig's ears among other meat offerings.""]",A pig's ear in its various uses.,An actual pig's ear showcased in a variety of contexts.,Both center on the literal portrayal of a pig's ear. The second caption more broadly encompasses the multiple potential uses and settings of pig's ears.,An actual pig's ear showcased in a variety of contexts.
best man,Literally the man chosen by a groom to be his chief attendant at his wedding.,The chief male attendant to a groom at a wedding.,"['A best man standing beside the groom at the altar during a wedding ceremony.', 'A best man making a toast to the couple during a wedding reception.', 'A groom being helped by his best man to prepare for the wedding ceremony.', 'A best man and groom posing for a photo on the wedding day.', 'A best man handing over the wedding rings to the groom during the ceremony.']",The man selected by the groom to assist him on his wedding day.,A best man supporting the groom during a wedding event.,Both are accurate from a literal standpoint. The second showcases the supportive role the best man plays during the wedding.,A best man supporting the groom during a wedding event.
big cheese,"Literally a large piece of cheese, where size can be an attraction, often used for specialty meals or events.",An unusually large piece of cheese.,"['A large wheel of cheese being cut into at a cheese festival.', 'A gigantic block of cheese on display in a specialty cheese shop.', 'A large cheese platter with one oversized piece of cheese being served at a party.', 'A cheesemonger standing next to a huge wheel of cheese in his store.', 'A large block of cheese being lowered into a fondue pot during a gourmet cooking segment.']",An impressively large piece of cheese.,A standout large cheese used in various settings.,Both captions encapsulate the literal meaning of the phrase. The second one gives a sense of the cheese's size relative to its surroundings.,A standout large cheese used in various settings.
eager beaver,"Literally, a beaver that appears enthusiastic or excited, which could be perceived through its active behavior.",An eventful or active beaver.,"['A beaver enthusiastically gnawing at a tree, eager to gather wood for its dam.', 'A beaver vigorously splashing water with its tail, seeming full of life and energy.', 'An eager beaver enthusiastically exploring a new environment in a nature documentary.', 'A beaver showing its excitement by standing on its hind legs and inspecting its surroundings.', 'A beaver busily and fervently constructing its dam in a nature reserve.']",An energetic beaver displaying active behaviour.,An enthusiastic beaver engrossed in its activities.,Both captions capture the literal meaning of the phrase. The second caption emphasizes the beaver's active nature and eagerness more directly.,An enthusiastic beaver engrossed in its activities.
hair of the dog,"Literally, it refers to the hair/fur of a dog, which is a part of its coat.",The physical fur that comes from a dog's coat.,"['A dog getting groomed at a pet salon, with clumps of trimmed hair on the floor.', ""Someone brushing their dog's fur, with a pile of loose hair next to them."", 'A close-up of a dog’s coat showing beautiful and even hair.', 'The hair of a shedding dog captured on a furniture.', 'A mound of dog hair gathering at the corner of a room during the shedding season.']",Dog's fur collected or displayed.,Physical illustration of a dog's hair.,Both captions can apply to all scenarios. The second one has a broader reach describing the dog’s hair in any context.,Physical illustration of a dog's hair.
thin ice,"Literally refers to a sheet of ice that is not stable or stable enough to support weight, often deemed dangerous as it can easily break.",An ice cover or sheet that is relatively not thick and potentially fragile.,"['A frozen lake with a warning sign indicating thin ice.', 'A person carefully treading on a dangerously thin patch of ice during winter.', ""The pond's ice crackling under the weight of a stray leaf."", 'A thin sheet of ice captured from a transparent bottom showing the water beneath.', 'A visibly thin ice layer on top of a car’s windshield on a cold morning.']",Delicate and risky ice layer.,The danger of walking on thin ice.,Both captions accurately describe scenarios involving thin ice. The first one is physically encompassing of all the possible scenarios.,Delicate and risky ice layer.
snake in the grass,"Literally, it refers to a scenario where a snake is hiding or moving through grass, often illustrated in the wildlife or garden environments.",An actual snake camouflaged or moving through grass.,"['A close-up of a green snake blending with the grass in a garden.', 'A garden scene with visible rustling grass betraying a snake’s movement beneath.', 'A hiking trail warning sign about possible snakes in the grass.', 'A snake sliding through the grassland captured by a wildlife photographer.', 'A theme park reptile exhibit featuring a snake lurking in the artificial grass.']",Snake nestled or moving through grass.,The camouflaging snake in the grass.,"Both captions depict the literal action of the phrase. The first caption, however, is more versatile and can apply to all of the image ideas mentioned.",Snake nestled or moving through grass.
flea market,"Literally, a flea market is a type of bazaar that rents or provides space to people who want to sell or barter merchandise, often used goods.","An open site where sellers and vendors gather to sell a variety of goods and items, often used or antique.","['An overhead shot of a bustling flea market with numerous vendors and shoppers.', 'A vendor at a flea market displaying a mix of antique items.', 'A colorful flea market scene, full of clothing racks, furniture, and vintage items.', 'The entrance sign of a popular local flea market, with vendor tents visible in the background.', 'A busy flea market scene with people examining a variety of goods.']",A vibrant flea market scene full of goods and shoppers.,Open market showcasing a myriad of items for sale.,"Both captions correctly depict a flea market. However, the second caption is more neutral and can apply to all potential scenes captured in a flea market.",Open market showcasing a myriad of items for sale.
big fish,"Literally, a big fish refers to a fish of substantially more substantial size than the average or expected size for its species.",A fish that is physically larger than normal or expected.,"['A fisherman proudly presenting a large fish he caught during a fishing trip.', 'An aquarium exhibit featuring a big fish swimming among smaller fish.', 'A wildlife photographer capturing a big fish jumping out of the water.', 'A big fish being the center of attention in a local fish market.', 'A chef in a kitchen preparing to cook a large fish.']",Significant fish captured in different scenarios.,Largest fish in the scene.,"While both captions can fit, the first one is slightly more flexible and can be applied to more scenarios depicting a big fish.",Significant fish captured in different scenarios.
fancy dress,A dress that is more sophisticated or elaborately designed than a regular or casual dress.,"A ornate, highly-decorated, or formal piece of clothing typically worn for special occasions.","['A luxurious gown displayed on a mannequin in a high-end boutique window.', 'A small girl spinning in a sparkly princess dress at a birthday party.', 'A row of wedding dresses hanging in a bridal shop, each more elaborate than the last.', 'An elegant cocktail dress laid out on a bed in preparation for a gala event.', 'A heavily beaded dress being worn by a model during a fashion show.']",An ornate dress designed for special occasions.,A sophisticated and elaborately decorated attire.,"Both captions encompass the idea of a 'fancy dress' quite well, but the first one seems to be more specific and fitting to all the scenarios.",An ornate dress designed for special occasions.
snail mail,"Traditional mail delivered through a postal system, named 'snail mail' due to its slower speed relative to electronic mail.","Physical mail pieces, such as letters, postcards, packages, delivered via postal services.","['A postman delivering letters into mailboxes along a suburban street.', 'A stack of envelopes sitting on a wooden desk, ready for mailing.', 'A woman packing gifts for shipping at a local post office.', 'A push cart of mail being transported inside a large postal sorting facility.', 'A close-up of a letter being inserted into a mailbox.']",Physical mail being prepared or delivered.,A traditional postal service in action.,Both captions cover the concept of 'snail mail'. The first broadens the context while the second focuses on the system itself. The first one appears to be more fitting.,Physical mail being prepared or delivered.
heart of stone,"Literally a stone shaped like a heart, used decoratively in art and design.",A stone or rock that resembles the shape of a human heart.,"['A heart-shaped rock found on a beach, sitting amongst other pebbles.', 'A stone heart hung as a pendant on a piece of jewelry.', 'A collection of heart-shaped stones arranged in a garden path.', 'A stone carved into the shape of a heart serving as a gravestone.', 'A heart-shaped stone used as a paperweight on a desk.']",A rock or stone shaped like a heart.,A heart-shaped stone object.,Both versions depict the literal sense equally well and can be used interchangeably.,A rock or stone shaped like a heart.
party animal,"In literal terms, an animal that is present at a party or celebration.",A non-human entity partaking in a celebratory event.,"['A dog wearing a birthday hat at a family celebration.', ""A zoo-themed children's party featuring various animal mascots."", ""A pet parrot wearing a tiny party hat at a New Year's Eve gathering."", 'A cat sitting amidst wrapped presents and balloons at a birthday party.', 'A horse wearing a garland of flowers at a rural festival.']",An animal participating in a festive event.,A non-human entity at a party or celebration.,Both versions display the literal interpretation efficiently. The first one seems to convey the concept in a slightly more active manner.,An animal participating in a festive event.
cold feet,"Physically, it refers to feet that are of a low temperature, such as when walking barefoot in snow.",Having a lower than normal temperature in one's feet.,"['A person walking barefoot on a snow-covered walkway.', 'A close-up of swimmers feet as they test the chilly waters of a lake.', 'A person wrapped in blankets on a couch, only their cold bare feet sticking out.', 'Kids standing at the beach, waves washing over their bare feet on a cool morning.', 'Someone dipping their feet into an ice bath after a long run.']",Bare feet exposed to a cold environment.,A person with feet exposed to low temperatures.,Each caption expresses the literal sense of the phrase 'cold feet'. The first caption seems more interactive and visual than the second one.,Bare feet exposed to a cold environment.
