target_phrase,explanation,literal_definition,image_ideas,generalized_caption_1,generalized_caption_2,thinking,result
grass roots,Refers to the most basic level of an organization or society. Usually means ordinary people in a community as opposed to the leadership or elite,The part of a plant's roots closest to the surface.,"['An image of regular citizens gathered for a local town meeting, debating community issues.', 'Volunteers working together to clean a park, symbolizing collective community action.', 'A protest organized by ordinary people voicing their concerns in a public square.', 'A small startup business team brainstorming in a garage, showing the starting point of a venture.', 'Residents collaboratively planting trees in a neighborhood, illustrating local contribution and involvement.']",The common people participating in a collective action,Ordinary individuals driving community or organizational initiatives,"While both captions highlight the communal aspect of the idiom, 'Ordinary individuals driving community or organizational initiatives,' encapsulates the essence of leadership and change stemming from 'grass roots' more comprehensively.",Ordinary individuals driving community or organizational initiatives.
marching orders,"Instructions or commands, often given to dismiss someone from their duties. Essentially, it means someone has been told to leave or fired.",Orders given to soldiers on how to march.,"['An employee receiving a letter of termination, a visual representation of being dismissed.', 'A soccer coach telling a player to sit on the bench signalling the end of his participation in the game.', 'A boss pointing to the exit door, implying that the person is being let go.', 'A tenant receiving an eviction notice from the landlord, signifying the order to leave.', 'A dejected worker leaving an office, carrying a box with personal belongings, after being fired.']",Being dismissed or directed to leave,Instructions implying termination or removal,'Instructions implying termination or removal' is more encompassing as it not only implies the order to leave but also indicates the associated authority and decision-making.,Instructions implying termination or removal.
panda car,"In British English, it refers to a small or medium-sized patrol car used by the police. It is often painted with contrasting colors, like black and white.",A car that is related to a panda.,"['An image of a police vehicle, painted in black and white, parked outside a police station.', 'A patrol car on duty on city streets, with police officers inside.', ""A scene from a traffic stop where a black and white patrol car is parked behind the offender's vehicle."", 'An officer rushing towards a black and white patrol car, about to respond to a call.', 'A black and white police vehicle on the move with sirens and lights on.']",Black and white police patrol vehicle in action,Law enforcement's black and white patrol car at work,"Between the two captions, 'Law enforcement's black and white patrol car at work' is more encompassing as it includes both stationary and moving circumstances, depicting a broader range of law enforcement actions.",Law enforcement's black and white patrol car at work.
bread and butter,"Refers to a person's main source of income or to basic, essential factors.",Bread and butter as food items.,"['A graphic designer working diligently at a computer, showcasing her primary skill and income source.', 'A man tuning a car engine in a garage, illustrating his livelihood.', 'A teacher standing in front of a chalkboard, showing his main work and earning method.', 'A person tending a vegetable stand at a farmers’ market, indicating their primary income source.', ""A singer performing on a stage, representing the artist's main livelihood.""]",Engaged in the task or work that provides sustenance,Performing work that forms the foundation of income,'Performing work that forms the foundation of income' better translates the idiom as it underscores the concept of a core earning activity as a source of livelihood.,Performing work that forms the foundation of income.
chocolate teapot,"Something that is attractive or enticing but ultimately ineffective or useless. Generally, describes an attractive proposition that fails to serve any substantial purpose.",A teapot made of chocolate.,"['A beautiful chocolate teapot melting under the heat of boiling water, emphasizing the impracticality.', ""A department store display for a shiny new chocolate teapot, but it's labeled 'For Decorative Purposes Only'."", 'A family gathered around a table for tea, confused and disappointed as their chocolate teapot dissolves into the pot.', 'A chocolate craftsman presenting his latest creation, a chocolate teapot, which stunningly lacks functionality.', 'An elegant chocolate teapot showcased in a museum, but figuring out how to use it is futile.']",Appealing but failing to fulfil its intended purpose.,Good-looking but ineffective.,"Between the two, 'Appealing but failing to fulfil its intended purpose' captures better the beautiful uselessness of a 'chocolate teapot'.",Appealing but failing to fulfil its intended purpose.
pig's ear,"Making a mess of a task or simple job. It commonly implies gross clumsiness, ineptitude or a catastrophic failure of something easy.",The ear of a pig.,"['A worker attempted to hang a picture but ended up knocking down the entire wall.', 'A man tried to bake a cake for the first time, but the kitchen has become an apocalyptic scene of flour, eggs, and sugar.', 'A simple DIY furniture assembly ending up in a bizarre, unsuitable form.', 'A girl trying an easy drawing tutorial, but the result is a chaotic scribble, far from the intended design.', 'A teenager attempting to fix a flat tire, but ended up removing the entire wheel from the car.']",A simple task gone surprisingly wrong.,Catastrophic failure in doing something straightforward.,'Catastrophic failure in doing something straightforward' seems more suited as it talks about the contextual clumsiness expressed by 'pig's ear'.,Catastrophic failure in doing something straightforward.
best man,"The chief male assistant to the bridegroom at a wedding. Traditionally, he is the grooms closest friend or a family member.",The finest or most outstanding man.,"['A groom and his best man sharing a moment of camaraderie before the ceremony.', 'The best man nervously reading his speech at the wedding reception.', 'The best man helping the groom get ready, adjusting his tie or cufflinks.', 'During the wedding ceremony, the best man holds the wedding rings on a small pillow.', 'The best man shares a hearty laugh with the groom during the wedding party.']",The groom's right hand on the wedding day.,In valuable company for the big day.,Both headings provide the inherent notion of support and involvement that 'best man' carries. 'The groom's right hand on the wedding day' feels more definitive and descriptive.,The groom's right hand on the wedding day.
big cheese,"A person of great importance or influence, often within a specific arena or context. Signifies a leader or a person with authority.",A sizable chunk of cheese.,"['A corporate leader stands center stage at a major company event.', 'A mayor with a crowd drawn to him at a town festival.', 'The editor-in-chief of a newspaper commanding the newsroom.', 'A coach addressing his team in a locker room, all eyes focused on him.', 'A teacher in front of a class, explaining a complex equation on the chalkboard.']",A figure of significance marked by notable influence.,The commanding presence in the room.,'A figure of significance marked by notable influence' encapsulates 'big cheese' with a direct implication of authority and role.,A figure of significance marked by notable influence.
eager beaver,"A person who is hardworking and enthusiastic, potentially overly so. Usually, denotes someone who is upbeat and keen about doing work or certain tasks.",A very keen and hard-working beaver.,"[""A student raising her hand enthusiastically to answer the teacher's question in class."", 'An employee staying after hours, the only one left in the office, to complete the presentation.', 'A jogger ready for morning run before sunrise, depicting eagerness for an early start.', 'A volunteer, cleaning up a park on a Sunday morning while others sleep in.', 'A worker arriving before everyone else at a construction site, ready with his tools.']",Relentless dedication and enthusiasm in pursuit of a goal.,Ever ready and upbeat about performing tasks.,'Ever ready and upbeat about performing tasks' helps convey the positive gusto and tireless spirit embodied by the term 'eager beaver.',Ever ready and upbeat about performing tasks.
hair of the dog,"Refers to the concept of curing a hangover with the same substance that caused it, typically alcohol. It's a humorous way to suggest that repeating the cause of a problem might also be its solution.",A piece of a dog's hair.,"[""A person with a hangover reaching for a bottle of wine that's humorously marked 'Hangover Cure'."", 'A morning-after scene where someone is pouring a small amount of beer into their coffee.', 'A cartoon image of a man partying at night, facing a harsh morning, then taking a morning toddy, showing a tit-for-tat cycle.', 'The silhouette of a partygoer from the night before, struggling in the morning, and then unbelievably going for a drink.', ""A humorous diagram illustrating a 'cure' cycle involving partying, hangover, and then 'hair of the dog'.""]",Turning to the cause of the problem for its solution.,Meeting the problem head-on with its own cause.,'Turning to the cause of the problem for its solution.' is better. It emphasizes the paradox inherent in the idiom.,Turning to the cause of the problem for its solution.
thin ice,Used to indicate a risky situation or action that can result in trouble or danger. It suggests a precarious or insecure circumstance where one false move could lead to dire results.,Ice that is not very thick and may break under pressure.,"['An ice skater wobbling on a thin patch of ice, highlighting potential danger.', 'A person tip-toeing carefully over a frozen surface showing cracks around.', 'A bear treading cautiously on a thin sheet of ice with a worried expression.', 'A person trying to cross a flimsy frozen lake, with a danger sign visible.', ""A cartoon person tentatively stepping on ice which has a 'danger' warning beneath it.""]",Treading carefully in a risky situation.,Walking on thin ice: beware of danger ahead.,"'Walking on thin ice: beware of danger ahead.' is more representative. It directly uses the idiom, making it immediately recognizable.",Walking on thin ice: beware of danger ahead.
snake in the grass,Describes a person who pretends to be a friend but is actually planning something harmful. It emphasizes hidden ill intent behind a benign facade.,A snake hidden in tall grass.,"['The shadow of a snake coiling beneath friendly daisies, a stark contrast between the peaceful scene above and danger lurking below.', 'A group of friends chatting, unaware of a snake lurking beneath the carpet they are standing on.', 'A person waving hello, while his shadow resembles a snaking figure.', 'A hidden snake somewhere in a friendly-looking neighbourhood scene, symbolizing lurking danger.', 'A playground scene with swing and kids, but closer look reveals a hidden snake under the bench.']",Hidden menace camouflaged in friendly surroundings.,Beware: not everything is as safe as it appears.,"While both capture the theme, 'Beware: not everything is as safe as it appears.' is more ominous and fitting to the deception emphasized in the idiom.",Beware: not everything is as safe as it appears.
flea market,"Refers to a type of bazaar where used goods and antiques are sold, often outdoors. The name doesn't mean the items are infested with fleas; rather, it suggests the idea of small, innumerable things for sale.",A market selling fleas.,"['A bustling outdoor market full of stalls selling a vast array of used items, from vintage clothing to old records.', 'An overhead shot of a big flea market in a park, showing people haggling over prices and inspecting interesting finds.', ""A stall viewed from over the seller's shoulder, showing a vast array of small, second-hand items up for sale."", 'A vintage flea market scene featuring antiques, curiosities and crowd bargaining.', 'An old woman selling her hand-knitted items at a flea market.']",The bustling scene of a market selling all kinds of used goods.,A vibrant flea market scene filled with hidden treasures.,'A vibrant flea market scene filled with hidden treasures.' aligns best with the image descriptions. This caption puts a positive spin and aligns well with the charm often associated with flea markets.,A vibrant flea market scene filled with hidden treasures.
big fish,"Used to refer to someone important or influential within a particular context. This person is typically a decision-maker, holds significant influence, or is a key figure in an organization or group.",A fish that is larger than usual.,"[""A conference room where everyone is looking at a central figure: the confident 'big fish'."", 'A fish bowl full of small fish looking up at a bigger fish in a suit.', 'A person standing out in a crowd, visible not by physical size but by the gravitational pull they exert on others.', ""A 'big fish' walking down a company hallway, with employees peeping out of offices to watch them."", 'An illustrative representation of small fish encircling and gazing up at a larger fish wearing a crown.']",Being the influential figure in an environment.,Standing alone as the big fish the smaller ones look up to.,'Being the influential figure in an environment.' seems to be slightly more broad and fitting across all the image ideas presented.,Being the influential figure in an environment.
fancy dress,The phrase 'fancy dress' refers to a costume or outfit typically worn for a party or event where participants are expected to dress as a character or in a theme.,An attire that is extravagant or elaborately designed.,"['Several partygoers in a colorful room wearing various character costumes mingling and chatting.', 'A man dressed as a pirate, complete with a hat and eye-patch, standing among a crowd of other costumed individuals.', 'A woman dressed as a queen, complete with a crown and robe, at a themed party.', 'A group of children in adorable costumes having fun at a birthday party.', 'A scene of a costume competition where people have dressed up as various famous personalities or characters.']",Embracing the joy of a themed dress-up event.,Showing off character costumes at a social affair.,"The captions both get at the main idea of showing off different costumes during a party or event. The first caption 'Embracing the joy of a themed dress-up event,' is broader and fits the different situations better.",Embracing the joy of a themed dress-up event.
snail mail,"This idiom refers to regular postal mail. It's usually used in comparison to email or other forms of electronic communication, highlighting their faster speed.","Mail that is physically delivered, typically involving a snail pace compared to electronic communication.","['A person waiting at a mailbox, looking at their watch, implying the slow arrival of mail.', 'A postman delivering stacks of traditional mail to different houses.', 'A contrast image showing an email arriving instantly on a computer screen, while a letter envelope is still mid-air.', 'A person literally mailing an envelope in a mailbox, signifying the traditional way of dispatching letters.', 'A slow snail with an envelope on its back, progressing on a path, metaphorically illustrating the pace of normal mail.']",The slow but sure progression of traditional mail.,Patiently waiting for the leisurely pace of postal communication.,"While the first caption creates a vivid image of snail mail, the second caption emphasizes the difference in pace. It brings out the essence of the idiom more completely.",Patiently waiting for the leisurely pace of postal communication.
heart of stone,The idiom 'heart of stone' is often used to describe a person who does not show any emotions or is unaffected by emotionally charged events.,"Heart made out of stone, hence lacking feelings or emotions.","['A person standing in the rain, with a stoic expression and a ghostly stone heart visible in their chest.', 'A man unmoved, showing no reaction among a crowd where everyone is displaying extreme emotions.', 'A stone statue in shape of a human with an emphasis on a stone heart in the center.', 'A heart made of stone lying on the ground while people weeping in the background.', 'A person comforting a crying friend, but not showing any emotional response.']",Appear unfeeling amidst emotionally charged circumstances.,The unyielding stoicism of a heart made of stone.,The second caption 'The unyielding stoicism of a heart made of stone' embodies the essence of the idiom exactly and sets an all-encompassing scene for all the given situations.,The unyielding stoicism of a heart made of stone.
party animal,"A 'party animal' refers to someone who loves social events and parties, often seen as enthusiastic, outgoing and energetic at such events.","A person who thrives in a party or festive environment, often showcasing a wild behavior.","['An energetic man dancing enthusiastically among a crowd at a disco club.', 'A woman laughing uproariously and holding a drink in her hand at a house party.', 'A group of people having fun at a beach party with one person, clearly the life of the party, leading the festivities.', 'A happy and confident individual standing out in a party due to his lively nature.', 'Someone energetically leading the dance floor at a wedding reception.']",Living life to the fullest in the heart of a vibrant social gathering.,Embodying the spirit of a party.,"Both captions emphasise the attributes of a 'party animal' quite well, but 'Embodying the spirit of a party.' matches all scenes better as it signifies the energetic presence of a 'party animal' at any type of gathering.",Embodying the spirit of a party.
cold feet,"The idiom 'cold feet' is often used to describe a state of having doubts or losing courage to do something, particularly at the last minute.",Experiencing a sudden attack of doubt or apprehension.,"['A bride or groom nervously pacing before a wedding ceremony, indicating last-minute jitters.', 'A tight-rope walker looking down from a high wire with an expression of fear, hesitation or second thoughts.', 'A public speaker backstage, sweating nervously before going out to address a large audience.', 'A person standing on a diving board, looking down into the pool in nervous anticipation.', 'A first-time climber looking up at a daunting rock face, second guessing their ability to climb.']",Last-minute doubts filling the mind.,Succumbing to the hesitation before taking the leap.,"Both captions highlight the key emotion of the idiom - fear or apprehension before undertaking a task. However, 'Last-minute doubts filling the mind' is better as it succinctly conveys the situation for all depicted scenarios.",Last-minute doubts filling the mind.
couch potato,"Describes a person who spends a lot of time sitting or lying down, usually watching television or engaging in other forms of passive entertainment. It connotes physical inactivity or laziness.",A potato on a couch.,"['A person sprawled on a couch with a remote in hand, surrounded by snacks, engrossed in a TV sitcom.', 'An annimated image of a real potato, morphed to look like a human, lounging on a couch, eyes fixated on a TV screen.', 'A man in leisurely clothing dozing off on a sofa, with a video game controller slipping out of his slack hand.', 'A woman reclining on a plush chair with a novel, a bowl of popcorn beside her, a cat dozing in her lap, the TV on in the background.', 'A caricature of a person made of potato, relaxed on sofa with a VR headset on, engrossed in virtual reality']","Engrossed in passive leisure, living the laid-back life.","Occupied with sedentary entertainment, embodying quiet inactivity.","'Occupied with sedentary entertainment, embodying quiet inactivity.' directly speaks to the idea of someone being physically inactive and engaged in passive activities, which is a central theme in all the images. This expresses the meaning of 'couch potato' perfectly.","Occupied with sedentary entertainment, embodying quiet inactivity."
peas in a pod,"It refers to two or more people who are very similar in appearance or thinking, almost indistinguishable. It connotes a close match or resemblance.",The peas inside a pea pod.,"['Twins dressed identically, mimicking each others expressions, symbolizing striking similarity.', 'Two people sitting side by side, engrossed in the same book, sharing an identical jovial expression.', ""A cut-away illustration of a pea pod, with each peas' face feature resembling, indicating similarity."", 'Two designers working in unison, sporting similar attire and glasses, producing virtually identical designs on their screens.', 'Old friends laughing together, their joyous faces mirroring each other, surrounded by shared memorabilia - reflecting their striking resemblance in happiness.']","Mirror images, reflecting a striking resemblance.","Two-of-a-kind, embodying striking similarity.","'Two-of-a-kind, embodying striking similarity.' is the best fit as it encapsulates the core essence of the idiom 'peas in a pod', underlining the close resemblance and similarity among the people.","Two-of-a-kind, embodying striking similarity."
sour grapes,"It refers to the act of disparaging something that one desires (but cannot obtain) as unworthy or inferior. This idiom originates from Aesop's fable, 'The Fox and the Grapes', and it implies denial or resentment.",Grapes which are sour in taste.,"[""A man looking disappointedly at a fancy sports car driving away, muttering 'It's probably not that fast'."", ""A child at a toy store window, not being able to buy an expensive toy, dismally saying 'It's probably not that fun anyway'."", ""A lady watching her colleagues eating at a fancy restaurant, while she eats in the office saying 'Their food is probably not that good'."", ""A student unable to purchase the latest smartphone says shrugging to his friend, 'It's probably overrated'."", ""An artist at an auction, seeing his desired painting getting sold, whispers 'It probably wouldn't have fit my collection anyway'.""]","Desiring yet dismissing, masking disappointment with denial.","Hidden longing cloaked in criticism, the story of unfulfilled desires.","Both captions capture the core essence of the idiom 'sour grapes', but 'Hidden longing cloaked in criticism, the story of unfulfilled desires.' seems to paint a more apt picture across all scenarios, focusing on the disappointment and denial.","Hidden longing cloaked in criticism, the story of unfulfilled desires."
hot air,Refers to empty talk or exaggerated claims that have no substance or validity. It connotes deceit or unfounded boasting.,Air that is hot.,"['A man on a podium giving a passionate speech, while his audience react with skeptical expressions.', ""A salesman praising an old car as though it's a brand-new luxury model, while the customer appears unconvinced."", 'A boy in school yard bragging about his incredible adventures during the holidays while his friends show doubtful faces.', 'A woman dramatically telling her date about her high-profile job connections, while he reacts with sceptical half-smile.', 'A politician promising prosperous times to citizens while they react with jaded expressions.']","Boasting without backing, synonymous with empty promises.","Words filled with fervor, yet devoid of factual foundation.","Given the idiom 'hot air' suggests empty claims or exaggerations, the caption 'Words filled with fervor, yet devoid of factual foundation.' seems to capture this essence best across all images.","Words filled with fervor, yet devoid of factual foundation."
green light,Refers to the approval or a go-ahead for a project or an action. It signifies permission or endorsement to proceed.,A green light signal.,"['A team of business people celebrating by high fiving each other upon receiving approval for their project proposal.', 'An author smiling after getting a positive response from a publisher for her manuscript.', 'A young entrepreneur, exuberant, holding an approval letter for his start-up plan.', 'A group of builders at a construction site, receiving the official go-ahead from the city council to commence their project.', 'An architect, surrounded by plans and blueprints, holding a permit to kick-start her architectural marvel.']","Permission granted, the joy of the go-ahead.","Seal of approval, the happiness of receiving a green light.","'Seal of approval, the happiness of receiving a green light.' summarizes the essence of the idiom across all the different scenarios. This captures the glee and relief that comes with getting approval.","Seal of approval, the happiness of receiving a green light."
watering hole,"Refers to a popular gathering place, often where people gather for socialization or relaxation. In modern usage, it could be a bar, restaurant, or social club.",A natural source of water where animals gather to drink.,"['A bustling neighborhood pub filled with people laughing and conversing after work.', 'Friends coming together at a popular coffee shop, a regular meeting point.', 'Employees gathering at a common hangout area within the office during a break.', 'An animated club teeming with dancers and music, alive with enjoyment.', 'A busy restaurant patio where a group of friends are sharing a meal and having a great time.']",A common place where people come together to socialize.,A favored locale for community connection and relaxation.,"Both captions encapsulate the community aspect inherent in the phrase. However, the caption 'A favored locale for community connection and relaxation' includes both aspects of socialization and relaxation inherent in the idiom’s meaning.",A favored locale for community connection and relaxation.
flying saucer,Refers to an unidentified flying object (UFO) often associated with extraterrestrial life. Symbolizes the unknown and the mysteries of the universe.,"A round, disc-shaped flying object.","['A glowing disc-shaped object hovering above a field at night, with a baffled farmer looking on.', 'Children looking up in awe at a glowing round object flying overhead in the starlit sky.', 'An image of a round, glowing object caught in the lens of a camera, set against the background of a wooded area.', 'A disc-shaped metallic object floating above rooftops, with astonished people pointing at it from below.', 'A shiny round object spotted above a crowded city, causing a commotion among the people.']","A mysterious, unidentified object in the sky.",The spark of wonder and curiosity from the unknown.,"While the first caption aptly depicts the literal imagery, 'The spark of wonder and curiosity from the unknown' captures the broader connotations of mystery and curiosity tied to the idiom.",The spark of wonder and curiosity from the unknown.
act of god,"Refers to an extraordinary natural disaster such as flood, earthquake, hurricane that could not have been prevented by humans. Denotes events outside of human control, or force majeure.",An action or event caused by a deity.,"['The aftermath of a powerful earthquake, with people standing amidst ruins, looking up at the sky in despair.', 'An unexpected flood submerging a town, with residents helplessly watching from rooftops.', 'A fiery tornado ripping through a desolate landscape, illustrating untamed natural might.', 'A violent hurricane battering a coastal town, emphasizing the imperious force of nature.', 'A thunderstorm at sea causing a destructive wave, causing the ship to toss helplessly.']",Facing the inevitable and unpredictable fury of nature.,Under the mercy of forces beyond human control.,'Under the mercy of forces beyond human control' encapsulates the idea of overwhelming natural phenomenon that the phrase seeks to convey.,Under the mercy of forces beyond human control.
field work,"Refers to practical work conducted by a researcher in the natural environment, rather than in a laboratory or office. It signifies on-location research or hands-on experience in a specific field.",Work done on a field.,"['An archaeologist digging at an excavation site, surrounded by historical relics.', 'A biologist taking samples from a lush forest as part of environmental study.', 'A social worker interviewing locals in a rural village for a developmental project.', 'A geologist studying rock formations in a canyon, noting down observations.', 'A journalist caught up in the middle of a protest, capturing the scene.']",Engaged in practical work in the natural environment.,"Out in the field, gaining experience and insight firsthand.","The caption 'Out in the field, gaining experience and insight firsthand' better captures the essence of hands-on learning and experience associated with 'field work'.","Out in the field, gaining experience and insight firsthand."
big wig,"Refers to an important person, often in a specified sector or industry. Implies influence, power, or prestige.",A large wig.,"['A business leader receiving an award amidst applause from a gathering of professionals.', 'A powerful politician delivering a speech to an eager crowd.', 'An influential celebrity posing on the red carpet, surrounded by photographers and fans.', 'An acclaimed scientist presenting groundbreaking findings at a conference.', 'A renowned chef in a high-class restaurant, flanked by admiring staff and patrons.']","In the spotlight, commanding attention and respect.",A person of influence holding sway in their sphere.,"The second caption, 'A person of influence holding sway in their sphere', specifies the influence and significance of the idiom 'big wig' in their respective field, be it business, politics, entertainment, or academia.",A person of influence holding sway in their sphere.
