target_phrase,explanation,literal_definition,potential_definition_1,potential_definition_2,potential_definition_3,result
couch potato,"This idiom indicates a person who indulges in a lifestyle that involves extended periods of inactivity, watching a lot of television and not engaging in an active or healthy lifestyle. It evokes images of objectiveness, relaxation to the point of laziness, and a lack of ambition.",A potato that is situated on a couch.,"A person who spends a lot of time sitting or lying down, usually watching TV.","Someone who hangs out a lot just being lazy, often glued to the television.","A person who does a lot of sitting around, doing nothing other than watching screens.","A person who spends a lot of time sitting or lying down, usually watching TV."
peas in a pod,"This idiomatic expression suggests two or more individuals who are remarkably similar to each other in appearance, attitude, or behavior. It carries a connotation of similarity and closeness, often used to represent close friends or family members who share many common characteristics.",Peas which are contained inside the same pod.,Two people who are very similar in the way they look or act.,"People who share many characteristics, as if they're almost the same person.","Individuals who are so alike, they might as well be the same.",Two people who are very similar in the way they look or act.
sour grapes,"This phrase signifies pretending to despise something that one does not or cannot have. It evokes a sense of discontentment, resentment, and jealousy. Often, it points to a person's inability to admit their own desires or failures.",Grapes that have a sour taste.,Pretending not to care about something because you can't have it.,Acting like something is unimportant or bad because it's out of reach.,Downgrading something only because you couldn't get it.,Pretending not to care about something because you can't have it.
hot air,"This idiom denotes talk that is boastful, without worth, or with no real substance. It evokes images of empty, unfounded claims or exaggerations. It's often used to refer to people who speak a lot but say very little of genuine value.",Air that is warm or hot in temperature.,Talking a lot but saying nothing of value or importance.,Using many words but failing to deliver any meaningful message.,A person who talks big but delivers little.,Talking a lot but saying nothing of value or importance.
green light,"This idiom refers to getting permission to proceed with a project or action. It evokes connotations of approval, go-ahead, and a sign to move forward in a procedure or plan.",A green-colored signal that allows vehicles to move forward in a traffic system.,Given permission to start or continue with a task or plan.,A signal telling you it's okay to move forward with a project.,The go-ahead or approval to proceed with something.,Given permission to start or continue with a task or plan.
watering hole,"This idiom often refers to a favorite gathering place where people, usually friends or colleagues, come together regularly. It evokes images of community, relaxation, and familiar comfort.","A hole or other depressions in the earth where water is present, typically visited by wildlife to drink.",A gathering spot where people hang out regularly.,A regular meeting place for a group of friends or colleagues.,A favorite spot where people frequently get together for relaxation or socializing.,A regular meeting place for a group of friends or colleagues.
flying saucer,"Often used in the context of unexplained aerial phenomena or alien spacecraft, the term evokes excitement, curiosity, or fear related to the unknown.",An object in the shape of a plate or disc hovering or moving through the air.,"Something strange visible in the sky, typically thought to be an alien spaceship.","A mysterious object seen in the sky, often linked with extraterrestrial life.","An unidentified round object in the sky, often used to talk about UFOs.","An unidentified round object in the sky, often used to talk about UFOs."
act of god,"It refers to an event that is outside of human control, specifically natural disasters like earthquakes or floods. This term often bears the undertones of unpredictability, inevitability, and powerlessness.",A deed or action performed by a god or deity.,"A natural disaster beyond human control, such as an earthquake or flood.","An unpredictable event caused by nature, not people.","Something that happens far beyond human control, usually a natural disaster.","A natural disaster beyond human control, such as an earthquake or flood."
field work,"This term often refers to practical work conducted by researchers in the natural environment, rather than in a laboratory or office. It connotes hands-on experience, exploration, and sometimes physically demanding work.","Work done in an open field, usually agricultural or related to natural sciences.",Hands-on research or work done outside rather than in an office.,"Work that involves going out in the real world, not just reading or discussing.",Practical work done in the natural environment instead of a lab or office.,Practical work done in the natural environment instead of a lab or office.
big wig,"It is used to describe someone of high rank or important position in any sphere, but especially in business or politics. Evokes images of authority, power, and influence.",A large hairpiece or wig.,An important person with a lot of power or influence.,A person who holds a high-ranking or influential position.,Someone powerful or very important in a particular area.,An important person with a lot of power or influence.
