target_phrase,explanation,literal_definition,potential_definition_1,potential_definition_2,potential_definition_3,result
thin ice,"A fragile state of frozen water, usually found on a body of water during the winter. It brings to mind an image of someone treading carefully on possibly breakable ice surface.",In a precarious or risky situation.,Surface of a lake or pond covered by fragile ice.,"Not thick, easily breakable frozen layer of water.","A thin, delicate layer of ice over a water body","Not thick, easily breakable frozen layer of water."
snake in the grass,"A literal interpretation might bring to mind a snake hiding below the tall blades of grass, ready to surprises its prey. This image likely evokes feelings of trepidation, since snakes are often associated with danger or poison.","A person who is treacherous, not to be trusted.",A reptile of suborder Serpentes hiding in grass.,A hidden serpent within vegetation.,A snake lying low in a grassy area.,A hidden serpent within vegetation.
flea market,"A market where there exists a multitude of small shops or stalls selling numerous types of goods possibly of little value. The imagery is of buying or selling fleas, which isn't actually what happens.",A type of bazaar where inexpensive or secondhand goods are sold.,A public place filled with various small stands selling goods.,An open-air market with many stalls selling varied items.,A bustling market area made up of multiple mini stores or booths.,An open-air market with many stalls selling varied items.
big fish,"A large aquatic animal that can be found in a body of water. Literally, it is a fish that is bigger in size than the usual or expected size.",An important or influential person.,An aquatic creature of unusually large size.,A sizable fish species in comparison to usual ones.,A fish that is bigger than average.,An aquatic creature of unusually large size.
fancy dress,An elaborate or special attire worn for a particular occasion. This could include costumes or formal wear and often implies something more extravagant than everyday clothes.,Costume parties where people dress up in unusual or imaginative outfits.,An extravagant or elaborate outfit for a special occasion.,Costumes or formal attire worn for particular events.,A noticeably special or uncommon outfit.,An extravagant or elaborate outfit for a special occasion.
snail mail,"Physical mail or post which is tentatively related to the visually slow movement of a snail, implying it takes a long time to reach its destination.",Traditional postal mail in contrast to digital email.,Paper letters and parcels sent through the postal system.,Physical post as opposed to electronic communications.,"The slower, traditional method of sending letters.",Paper letters and parcels sent through the postal system.
heart of stone,"A literal heart made of stone would be inanimate, hard, cold and lifeless. It implies a lack of the warmth and empathy typically associated with a heart.",A person who is emotionally unresponsive or lacks compassion.,An inanimate and hard heart made out of rock.,"A heart symbol composed of stone, depicting coldness.","A heart that, if it were physical, would be stone-like and lifeless.",An inanimate and hard heart made out of rock.
party animal,"Literally refers to an animal participating in a party. This conjures up images of an animal actively engaging in party activities, which would typically be unexpected behavior for an animal.",A person who frequently attends parties and enjoys them to a great extent.,An animal that's found at a social gathering or party.,An animal participating actively in party activities.,"An animal behaving unusually, as if partaking in a human party.",An animal participating actively in party activities.
cold feet,"The literal meaning refers to the physical sensation of having cold feet. This implies discomfort, perhaps from cold weather or bad circulation.","A sudden loss of confidence in a plan or decision, especially one that was well-advanced.",The feeling of having physically chilly feet.,The discomfort of having your feet too cold.,Feet that are noticeably cold to the touch.,The feeling of having physically chilly feet.
couch potato,A potato which is transported to and seems to be cultivating or growing on a couch. It suggests a static and unchanging object situated on a piece of living room furniture.,"A person spending much of their free time, or being inactive for long periods, especially by watching television on a couch or sofa.",A potato sitting on a living room couch.,A static potato observed on a sofa.,A potato seemingly growing on a sofa.,A static potato observed on a sofa.
peas in a pod,"Peas that are contained within the same pod, close together and aligned in a row. The enclosed pea seeds are uniform and identical to each other.",Two or more people or things that are very similar or identical.,Peas lined up inside the same pod.,Numerous peas fits into a single shell.,Aligned peas encased within the same pod.,Peas lined up inside the same pod.
sour grapes,"Grapes that have a tart or acidic taste, usually indicating that they are unripe or have been poorly preserved. They may have an unattractive, shriveled appearance and create an unpleasant immaterial experience when consumed.",Pretending to despise what you cannot obtain.,"Grapes with unpleasant, overly acidic taste.",Tart and unripe grapes causing bitter taste.,Unappealing and shriveled grapes with sharp flavor.,"Grapes with unpleasant, overly acidic taste."
hot air,"Physically, it's the state of air when it's warmed up, causing it to expand and lighten, often noticeable in balloons or on hot days, when it rises upward due to its lower density compared to cold air.","Insincere, exaggerated, or boastful claims or promises.",Warm and light air that rises upwards.,Expanded air due to an increase in temperature.,Heated air with lower density than its colder surroundings.,Heated air with lower density than its colder surroundings.
green light,"A traffic light which is green in color, universally signaled as the signal for cars to proceed or move forward. It emits a bright, eye-catching luminescent green light on par with other standard traffic signals.",Give permission to proceed with a project or action.,A green traffic signal indicating to proceed.,Luminescent green light allowing traffic to move.,Traffic light symbolizing 'go' with its green color.,A green traffic signal indicating to proceed.
watering hole,"In a literal sense, a 'watering hole' is just a location where animals go to drink water, such as a pond or stream in the wild. It's a natural spot in arid landscapes particularly where animals congregate for their hydration needs.","Casually, it refers to a local bar or a similar establishment where people regularly gather and share stories and drinks.",A pool or pit filled with water where animals come to drink.,A natural source of water primarily for animal hydration.,A place where wildlife gathers for water consumption.,A natural source of water primarily for animal hydration.
flying saucer,"A flying saucer is an object shaped like a saucer or disc, imagined to be seen in the sky. The term comes from descriptions of unidentified flying objects (UFOs) and has an imaginary and otherworldly tinge to it.",This term is used to describe a hypothetical spacecraft from another world that's usually associated with alien life forms.,A disc-shaped object perceived to hover in the sky.,"An unidentified object, saucer-like in shape, often seen flying.",A mysterious round object purportedly seen in the sky.,A disc-shaped object perceived to hover in the sky.
act of god,"'Act of God' is a phrase that literally means an action performed by a deity. In the context of monotheistic religions, it refers to any act directly attributable to a divine entity.","In legal and insurance contexts, the phrase refers to natural calamities or events that cannot be controlled by humans, like earthquakes, floods etc.",A divine intervention or action performed by a deity.,An event or action believed to be directly caused by God.,Any occurrence or event validly attributed to a divine being.,A divine intervention or action performed by a deity.
field work,"'Field work' is a term literally hinting at work done in an outdoor setting or field as opposed to an office or a laboratory. The field can be an archeological site, a jungle, the ocean, or virtually any place outside of a controlled environment.","Refers to practical work conducted by researchers or workers in the natural environment, rather than in a laboratory or office.",Work performed in an outdoor or natural setting.,Practical tasks carried out in the natural environment as opposed to indoors.,Work or research conducted outside the confines of the building or lab.,Work performed in an outdoor or natural setting.
big wig,"Literally , a 'big wig' refers to a large, elaborate wig of the kind that was in fashion in the 17th and 18th centuries, especially for men of rank or status. The more elaborate the wig, the higher the rank.","Figuratively, 'big wig' is a slang term used to refer to an important person, often in a particular sphere; person with authority, influence, or high position in an organization or certain contexts.",A large elaborate wig worn traditionally by people of status.,An oversized wig typically indicative of high rank or position.,A comprehensive hairpiece associated with people of significance in the past.,A large elaborate wig worn traditionally by people of status.
